"AFG","ALB","DZA","ASM","AND","AGO","ATG","AZE","ARG","AUS","AUT","BHS","BHR","BGD","ARM","BRB","BEL","BMU","BOL","BIH","BWA","BRA","BLZ","IOT","VGB","BRN","BGR","MMR","BDI","BLR","KHM","CMR","CAN","CPV","CYM","LKA","TCD","CHL","CHN","CXR","CCK","COL","COM","COG","COD","COK","CRI","HRV","CUB","CYP","CZE","BEN","DNK","DMA","DOM","ECU","SLV","GNQ","ETH","EST","FLK","FJI","FIN","FRA","PYF","DJI","GAB","GEO","PSE","DEU","GHA","GIB","GRC","GRL","GRD","GUM","GTM","GIN","GUY","HTI","HND","HKG","HUN","ISL","IDN","IRN","IRQ","IRL","ISR","ITA","CIV","JAM","JPN","KAZ","JOR","KEN","PRK","KOR","KWT","KGZ","LAO","LBN","LSO","LVA","LBR","LBY","LTU","LUX","MAC","MDG","MWI","MYS","MDV","MLI","MLT","MRT","MUS","MEX","MNG","MDA","MNE","MSR","MAR","MOZ","OMN","NAM","NRU","NPL","NLD","CUW","ABW","SXM","NCL","NZL","NIC","NER","NGA","NIU","NOR","MNP","PAK","PAN","PNG","PRY","PER","PHL","POL","PRT","TLS","QAT","ROU","RUS","RWA","BLM","SHN","KNA","AIA","LCA","VCT","SMR","SAU","SEN","SRB","SYC","SLE","IND","SGP","SVK","VNM","SVN","SOM","ZAF","ZWE","ESP","SDN","SUR","SWZ","SWE","CHE","SYR","TJK","THA","TGO","TKL","TON","TTO","ARE","TUN","TUR","TKM","UGA","UKR","MKD","EGY","GBR","TZA","USA","BFA","URY","UZB","VEN","WLF","WSM","YEM","ZMB","STP","SLB","KIR","VUT","NFK","PLW","SSD","BTN","ERI","CAF","SPM","TCA","GMB","MHL","GNB","ATF","PCN","FSM","BES"
"AUT",1.345,0,19.874,0,0,0,0,14.165,25.942,389.184,0,0,16.891,0.945,100.659,0,487.696,0,1.354,2606.963,0,245.574,0,0,0.326,0.988,261.834,0.096,0,24.366,0,2.182,12255.824,0,0,6.816,2.379,533.457,7800.184,0,0,105.533,3.094,0.968,1.506,0,58.729,1155.577,0,53.375,3020.215,0,2207.734,0,0.765,52.443,0,0,9.311,853.847,0,0,747.098,4790.242,3.64,0,13.127,4.525,0,47571.171,0.997,0,532.769,0,0,9.037,4.313,0,0,0,6.184,1678.28,4386.554,38.121,2039.78,1298.015,0.007,57.927,100.62,5242.594,27.488,0,1789.938,62.167,0.324,6.138,0,354.331,25.837,0,10.728,7.58,0,41.856,0,0,34.802,129.015,4.708,12.5,1.865,837.466,154.86,0,14.201,8.167,0.883,127.121,0,0.433,69.785,0,24.639,0.853,80.562,0.845,0,0,4027.181,0,0,0,27.252,136.685,0,0.694,43.781,0,2475.471,0,11.501,0,0,5.69,50.577,9.486,3260.246,3393.099,0,754.444,2652.507,1349.703,7.48,0,0,0,0,0,0,15.936,216.588,0.187,1003.957,0,0,310.818,307.778,1069.236,659.969,2070.963,0,133.424,1.041,1820.224,1.956,0,0,2467.862,20544.588,0,0,121.902,8.961,0,0,0.539,645.18,227.404,562.172,2.269,10.945,14.345,115.518,36.388,17057.292,4.791,5258.626,5.837,0.841,0,1.292,0,0,0,3.72,0,0,0,0,0,0,0.174,1.992,16,0,0,0,0,0,0,0,0,0,0
"BHS",0,0,0,0,0,0,0.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.208,0,0,0,0,0,0,0,1.427,0.753,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.503,0,0,0,0,0,0,0,0.524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.729,0,0,0,0,0.075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57.529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BHR",0,0,0,0,0,0,0,0,0,0,4.401,0,0,0,0,0,0.213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.516,0,0,0,0,0,0,0,0,0,0,0,31.629,21.799,0,0,0,0,0,0.444,9.243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.596,0,0,0,0,0,0,0,0,0,0,0,0,0,3.117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.178,0,0,0,0,0,0,0,0,0,0,996.12,0,0,0,0,0,0,0,0,0,0,16.745,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56.651,0,4.009,0,0,0,0,0,3.392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BGD",0,0,0,0,0,0,0,0,0,1.607,0,0,0,0,0,0,0.041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.294,0,0,3.624,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.077,0,0,44.895,1.565,0,0,0,0,0,99.368,0,0,0,0,0,0,0,0,0,0,0,14.585,0,0,0,0,0,256.854,0,0,0,0,6061.964,0,0,0,0,1.416,0,0,0,0,0,0,0,0,1.019,0,0,0,0,0,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.875,0,0,0,0,0,0,0,0,0,31.634,0,0,0,0,0,0,0,0.181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.388,0,0,0,0,11.163,0,0,0,0,0,0,0,0,0,8.054,0,0,0,0,0.015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ARM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.211,0,0,0,1.091,0,0,0,0,19.306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.847,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.836,0,0,0,0,0,0,0,0,0,11.495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BRB",0,0,0,0,0,0,0.087,0,0,0,0,0.25,0,0,0,0,0,0.556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.797,0,0,0,0,0,0,0,0,0.853,0,0,0,0,0,0,0,0,0.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6,0,0,0,0.806,0,0,0,0,0,0,0,0,0,0,0.241,0,4.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.69,0,11.324,0.214,0,0,0,0,0,0,0,0,0.011,0,0,0,0.09,0,0.202,0,0,0,0,0,0,0,0,0,0,0,2.64,0,0,0,0,0,0,0,0,0.647,0,33.108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BEL",0.679,29.013,1121.849,0,0,51.836,0,32.005,16.898,279.173,1703.941,0,6.916,8.789,23.999,0,0,2.392,3.992,9.694,0.154,237.61,2.595,0,0,2.481,160.563,5.872,77.966,16.845,0,33.873,614.194,15.467,0,55.855,2.619,44.671,23710.951,0,0,15.096,0,21.612,91.624,0,118.866,523.181,599.555,179.676,1207.243,0.427,2805.752,0,4.859,31.104,46.048,3.83,33.736,614.952,0,0.912,831.117,31514.551,1.357,0,12.901,37.892,0.062,30261.532,734.43,0,1531.256,0,0,0,37.916,120.28,0,0,10.96,459.718,846.632,53.232,12.634,57.868,10.95,900.801,1221.834,14182.68,78.727,11.907,569.939,34.352,95.772,12.313,0,588.864,31.491,3.191,0,31.02,0,279.997,0,0,755.73,1775.313,0,1.965,0,593.72,0.685,19.154,217.05,3.101,26.093,259.965,25.464,23.859,0.879,0,51.357,0,9.706,0.934,0,1.577,37303.304,17.074,2.173,0.005,32.791,138.786,3.492,3.66,220.078,0,1137.683,0,71.063,340.627,0,5.635,56.621,17.831,3365.888,1733.522,0,494.479,1333.39,424.167,8.501,0.059,0,0,0,0.144,0,30.127,188.485,23.947,70.2,3.392,14.801,1053.812,557.617,227.763,6.059,266.288,0,349.225,0.074,7856.209,5.571,34.068,0,4007.595,2421.101,0,0,279.567,4.715,0,0,0.411,423.81,59.807,777.505,0,4.025,148.565,250.817,387.12,19370.931,10.956,7240.498,30.685,165.756,0,0.073,0,0,0,72.897,0,0,0,0,0,0,0,0,0,4.567,0,0,0,0,0,0,0,0,0
"BMU",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1234.438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BOL",0,0,0,0,0,0,0,0,13.749,4.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.378,0,0,0,0,291.326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.128,0,0,0,0,0,12.881,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13,0,0,0,0,0,0,0,0,0,0,1.272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.682,1.051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.578,0,0,0,3.628,0,0,0,15.786,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BIH",0,0.097,0,0,0,0,0,0,0,0,134.39,0,0,0,0,0,0,0,0,0,0,6.342,0,0,0,0,4.423,0,0,0,0,0,0,0,0,0,0,141.026,0,0,0,0,0,0,0,0,1.204,43.944,0,0,0.083,0,0,0,0,0,0,0,0,0,0,0,0,0.174,0,0,0,0,0,234.914,0,0,0,0,0,0,0,0,0,0,0,0,0.293,0,0,0,0,0,3,9.552,0,0,0,0,0,0,0,0,0,0,0,0,0,1.669,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.373,0,0,0,0,0,0,0,0.076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004,0,0,0,0,39.514,0,0,0,0,0,0,0,0,0,0,40.127,0,0,1.347,0,0,0,52.168,0,0,0,0,0,0,0,0,1.489,0,0,0,0,0,0,0,0,0,0,0,0,0,2.247,0,13.935,0,2.096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
