"AFG","ALB","DZA","ASM","AND","AGO","ATG","AZE","ARG","AUS","AUT","BHS","BHR","BGD","ARM","BRB","BEL","BMU","BOL","BIH","BWA","BRA","BLZ","IOT","VGB","BRN","BGR","MMR","BDI","BLR","KHM","CMR","CAN","CPV","CYM","LKA","TCD","CHL","CHN","CXR","CCK","COL","COM","COG","COD","COK","CRI","HRV","CUB","CYP","CZE","BEN","DNK","DMA","DOM","ECU","SLV","GNQ","ETH","EST","FLK","FJI","FIN","FRA","PYF","DJI","GAB","GEO","PSE","DEU","GHA","GIB","GRC","GRL","GRD","GUM","GTM","GIN","GUY","HTI","HND","HKG","HUN","ISL","IDN","IRN","IRQ","IRL","ISR","ITA","CIV","JAM","JPN","KAZ","JOR","KEN","PRK","KOR","KWT","KGZ","LAO","LBN","LSO","LVA","LBR","LBY","LTU","LUX","MAC","MDG","MWI","MYS","MDV","MLI","MLT","MRT","MUS","MEX","MNG","MDA","MNE","MSR","MAR","MOZ","OMN","NAM","NRU","NPL","NLD","CUW","ABW","SXM","NCL","NZL","NIC","NER","NGA","NIU","NOR","MNP","PAK","PAN","PNG","PRY","PER","PHL","POL","PRT","TLS","QAT","ROU","RUS","RWA","BLM","SHN","KNA","AIA","LCA","VCT","SMR","SAU","SEN","SRB","SYC","SLE","IND","SGP","SVK","VNM","SVN","SOM","ZAF","ZWE","ESP","SDN","SUR","SWZ","SWE","CHE","SYR","TJK","THA","TGO","TKL","TON","TTO","ARE","TUN","TUR","TKM","UGA","UKR","MKD","EGY","GBR","TZA","USA","BFA","URY","UZB","VEN","WLF","WSM","YEM","ZMB","STP","SLB","KIR","VUT","NFK","PLW","SSD","BTN","ERI","CAF","SPM","TCA","GMB","MHL","GNB","ATF","PCN","FSM","BES"
"BWA",0,0,0,0,0,0,0,0,0,0,0.255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48.452,0.353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,155.307,0,0,0,0,0,0,0,0,0,1.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BRA",0,0,1.635,0,0,18.38,0,0,2899.955,30.397,36.693,0,0.313,0,0,1.651,36.484,0,450.793,0,0,0,0.635,0,0,0,0,0,0,0,0,0.6,149.393,1.046,0,0.006,0,1201.298,446.885,0,0,1751.443,0,0,1.884,0,160.721,0,34.908,4.062,0.173,0,6.061,0,32.259,729.86,57.461,0.621,0.071,0.62,0,0,20.17,1013.229,0.062,0,0.911,0,0,355.577,3.902,0,0.653,0,3.099,0,24.311,0,6.857,0.639,20.926,89.226,50.955,0,3.472,0.881,0.32,0.427,1078.388,115.991,0,0,3.394,0.324,0,0.432,0,1190.049,7.31,0,0,0.149,0,0,0,0,0,0,0,0,0,2.88,0,0,0,77.49,2.205,734.993,0,0,0,0,0.29,0.281,0.475,4.472,0,0,60.403,0.555,0.109,0,0.934,1.864,4.18,0,0,0,25.558,0,0.192,41.021,0,1142.096,455.495,2.593,327.92,29.093,0,2.331,0.423,11.174,0,0,0,0.005,0,0,0,0,26.637,0.25,0.047,0,0,647.706,65.253,4.011,158.504,0.192,0,56.076,0,60.038,0.015,1.495,0,41.487,20.942,0,0,450.563,0,0,0,2.058,305.118,0.03,20.02,0,0.796,0.066,3.474,4.864,149.544,0,4185.409,0,588.166,0,231.157,0,0,0.172,0.093,0,0,0,0,0,0,1.924,0,0,0,0,0,0,0,0,0,0,0,0
"BLZ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.052,0,0,0,0,0,0,0,0,0,0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.738,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"IOT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"VGB",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.643,0,0,0,0,0,0,0,27.349,0,0,0,0,0,0,0,0,0,0,0,0,0,2.308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.393,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.649,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.709,0,0,0,0,0,0,0,0,0,0,0,0,5.387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BRN",0,0,0,0,0,0,0,0,0,0.015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0.198,0,0,0,0,0,0,0,0,0,0,0.004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.038,0,0,0.004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.72,27.469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.75,0,0,0,0,0,0,0.003,0,0,0,0,0,7.293,0,25.856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BGR",0.385,82.914,0,0,0,0,0,24.027,1.398,2.148,374.977,0,1.006,0,6.879,0,22.629,0,3.43,52.672,0,85.109,0,0,0,0,0,0,0,0,0,2.822,36.009,0,0,5.754,0,2.561,543.008,0,0,9.043,0,0,0,0,0,595.166,0,287.731,92.781,0,863.633,0,0,65.907,0,0,0,129.253,0,0,12.553,313.647,2.194,0,0,68.364,0,2351.047,12.529,0,1930.326,0,0,0,0,0,0,0,0.135,12.01,1240.806,4.34,8.244,65.362,0,1.176,102.847,8126.513,0,0,487.186,28.771,9.813,0,0,136.474,33.895,0,0,13.039,0,554.136,0,0,161.873,112.22,0,55.995,0,6.836,0,0,75.839,0,1.327,382.247,0,16.791,30.89,0,28.003,0,1.089,0,0,0,293.145,0,0,0,0,5.932,0,0,0,0,22.498,0,0,0,0,0,370.887,0,978.459,745.886,0,20.62,4701.238,71.133,0,0,0,0,0,0,0,0,65.726,0,235.389,5.592,0,233.869,29.474,324.867,0,81.922,0,184.137,42.61,1101.809,0,0,0,25.172,117.157,0,0,174.233,0,0,0,0,133.121,0.148,98.527,0,0.278,31.354,196.668,83.241,3805.455,34.227,299.96,0,0,1.573,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MMR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.148,0,0,0,0,0,0,0,0,418.039,0,0,0,0,0,0,0,0,0,0.293,0,0,0,0,0,0,0,0,0,2.125,0,0,0,0,0.632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,469.514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.44,0,0.48,0,0,0,0,0,0,0,0,0,0,0,0,5.371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BDI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BLR",0,0,2.595,0,0,0,0,2.9,0,0,0,0,0,0,3.73,0,0,0,0.215,11.3,0,0,0,0,0,0,5.001,0,0,0,0,0,0.624,0,0,0,0,5,0.5,0,0,0,0,0,0,0,0,0,0,2.7,70.5,0,0,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0,6.4,0,6.5,0,0,0,0,0,0,0,1.2,0,0,0,0,5.4,0,0,0,0.4,0,0,0,0,0,4.747,113.098,0,0.4,0,1.5,0,0,0,0,0,26.4,0,0,11.603,0,0,0,0,0,0,0,0,0,0,0,2.032,28.883,0,0,0,0,0,0,0,0,3.6,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,347.195,0,0,0,0,1471.806,0,0,0,0,0,0,0,0,0,0,0.7,0,0,3.9,17.258,0,0,0.216,0,1.7,0,0.6,0,0,0,0,0.861,0,0,0.2,0,0,0,0,0.2,0,1.747,0,0.2,224.597,0,0,1.3,0,1.301,0,0,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KHM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.79,0,0,0,0,0,5.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,40.022,0,0,75.901,0,0,0,0,0.461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,204.515,0,0,0,0,0.457,0,0,0,0,0,0,0,0,0,1.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,445.478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CMR",0,0,1.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78.11,0,0,5.165,0.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5,0,0,0,0,0,18.852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.111,38.916,0,0,0,0,0,0,0.009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.376,0,0,0,0.555,0,0,0,0,0,0,0,1.317,0,0,0,0,0,0,0,0,0,0,0,0,0,0.198,0,0,0,0,0,0,0,0,0,22.442,0,0,0,0,0,0,0,0,0,0,1.29,0,1.118,0,0,0,0.934,6.981,0,0,1.256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,226.753,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.628,0,0,0,0,0,0,0,0,0
"CAN",0,0,29.729,0,0,10.72,1.798,94.596,1657.86,7517.474,116.119,3.326,11.052,304.24,0,37.54,662.431,16.543,15.87,3.194,0,2287.934,0.375,0,0,0,118.41,104.222,0,290.3,0,32.674,0,0,0.549,39.52,1.205,491.247,13430.609,0,0,490.385,0,0,0.869,0,135.914,56.52,36.097,35.979,159.609,99.445,74.177,0,25.02,126.92,4.747,2.221,121.49,43.179,0,0.027,557.375,4750.068,6.394,0,0,34.42,0.124,9156.819,1.363,0.231,189.118,9.716,6.49,0,24.751,0,0.166,0.655,88.019,3279.176,167.472,4.532,1993.382,2.665,156.239,104.97,1736.914,2605.794,50.258,76.292,3148.637,423.229,86.145,114.134,0,2998.866,116.003,0,0,128.439,0,18.664,1.26,0,88.791,43.986,2.557,11.716,0,927.293,51.619,250.412,26.596,12.328,2.839,10606.987,10.654,0.941,2.615,0,64.965,0.09,5.037,0.642,0,463.134,2290.681,94.793,0,2.763,0,1068.139,108.853,0,86.845,0,541.983,0,361.228,196.77,1.821,11.129,798.264,685.946,658.147,27.11,0,366.636,22.717,1542.076,0,0,0,0,0,5.929,0.055,0,517.466,0,40.653,0,0,3641.246,2414.569,1.005,733.043,74.872,0,1625.464,1.566,944.118,0,232.767,0,1487.113,631.995,0,2.049,1536.121,1.552,0,0,7.031,1711.919,19.744,1873.342,0,0.278,22.716,0.914,163.003,12515.868,6.008,534623.722,76.867,10.096,0,175.65,0,0,0,3.663,0,0,0,0,0,0,0,0,0,0,0.345,0.107,0,0,0,0,0,0,0
"CPV",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CYM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.165,0,0,0,0,0,0,0,0,0,6.213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LKA",0,0,0,0,0.034,0,0,0,0,1.771,0,0,0,12.749,0,0,0,0,0,0,0,6.296,0,0,0,0,0,0,0,0,0,0,10.243,0,0,0,0,0,15.9,0,0,0,0,0,0,0,0.004,0,0,0,0,0,0,0,0,0,0,0,1.232,0,0,0,0,0.155,0,0,0,0,0,84.215,0.202,0,0,0,0,0,0,0,0,0,0,15.274,0,0,0,0,0,0,0,2.295,0,0,2.79,0,0,6.93,0,1.059,0,0,0,0,0.042,0,0,0,0,0,0,0,0,1.056,91.351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.291,0,184.461,178.43,0,0,0,0.184,0,0,0,0,0,0,0,90.457,0,0,75.809,0,0,0,0,0,0,0.16,0,0,0,0,0,0,0.087,3.161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TCD",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.153,0,0,0,0,0,11.868,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CHL",0,0,0,0,24.323,0,0,0,163.803,1.23,3.847,0,0,0,0,0,0.151,0,2692.561,0,0,22.887,0,0,0,0,0,0,0,0,0,0,18.664,0,0,0,0,0,1.973,0,0,160.44,0,0,0,0,4.838,0,0,2.584,2.067,0,0.135,0,0,6.73,27.568,0,0,0,0,0,1.259,84.45,0,0,0,0,0,16.92,0,0,0,0,0,0,6.32,0,0,0,0,97.778,0,0,106.862,0,0,3.794,7.414,21.501,0,0,31.795,0,0,0,0,12.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,137.979,0,0,0,0,1.038,0,0,0,0,0,4.113,0,0,0,0,0.436,0,0,0,0,1.681,0,8.445,84.378,0,379.289,1156.776,0,2.301,0.879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17,2.164,0,0,0,0,0.853,0,199.102,0,0,0,0,0.486,0,0,0.013,0,0,0,0,0.156,0,0,0,0,0,0,0,564.58,0,917.167,0,76.781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CHN",795.032,1845.155,12689.733,0,222.265,900.167,7.39,416.067,95632.897,165437.888,29632.4,3.16,748.309,17848.063,966.684,161.614,59274.972,67.523,2488.863,2179.307,1056.281,155045.752,79.849,0,2.32,468.781,37568.645,8238.383,33.815,3701.544,2073.269,1955.797,223211.546,25.384,2.137,7758.733,143.132,41045.03,0,0,0,46665.879,7.575,1188.01,870.969,0,5151.705,2947.85,2484.122,3114.056,62385.355,17.802,33688.065,139.814,4611.154,14512.146,3069.965,102.273,4884.569,2732.88,0,335.24,22817.481,279178.982,523.224,3711.963,1623.575,1368.966,47.89,240209.132,2285.636,39.636,29335.226,10.728,9.941,0,6832.751,888.499,138.847,172.805,4881.094,1488387.683,28145.352,1243.501,93783.261,17881.821,12060.462,18233.825,27282.034,180779.308,1564.979,1231.07,561079.788,7659.787,12065.688,7136.292,1560.38,163317.722,3329.22,716.406,4193.964,6975.597,4.146,1465.092,279.329,1417.514,5027.116,616.642,2573.962,349.584,38.144,64705.463,438.279,232.496,1840.111,1612.709,1027.401,224451.976,535.958,1973.747,802.205,0,15252.724,772.736,2203.23,214.052,0,691.128,200638.523,52.733,30.123,0,146.299,18311.902,7383.55,60.983,21990.789,0,38951.878,0,27346.421,4722.518,553.936,7157.289,22875.022,18203.076,274145.519,15647.231,150.197,1561.833,24238.837,397770.275,181.067,0,0,7.096,0,102.922,445.027,81.34,25526.887,1364.769,8125.979,15.889,6.117,106892.585,88059.945,11364.046,60721.835,8651.267,122.581,37940.012,710.506,249633.923,6796.304,46.455,4.271,83452.798,47038.539,1263.797,893.291,282730.702,406.818,0,256.96,854.17,19992.623,3532.019,83542.25,194.585,363.579,17203.853,1446.964,24085.111,319705.29,3856.432,2557848.615,75.986,6421.648,1664.416,2743.809,0,877.729,829.536,480.038,3.249,16.676,69.16,414.294,0,0.204,182.543,38.238,57.876,3.29,0,0.5,154.928,0.068,1.849,0,0,0,0
"CXR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CCK",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"COL",0,0,0.533,0,0,0,0,0,0.637,0,0.497,0,0,0,0,0,5.365,0,1.845,0,0,0.198,0.009,0,0,0,0,0,0,0,0,0,13.626,0,0.702,0,0,45.517,89.42,0,0,0,0,0,0,0,75.357,0,0,0,0,0,0,0,11.232,156.83,151.319,0,0,0,0,0,0.111,0.625,0,0,0,0,0,75.35,0,0,0,0,0,0,10.496,0,0,0,9.722,1.713,0,0,0,0,0,0,10.515,106.434,43.266,2.073,0,0,0,0,0,0.144,0,0,0,0,0,0,0,0,0,0,0,0,0,1.946,0,0,0,0,0,24.903,0,0,0,0,0,0,0,0,0,0,16.125,0.052,0.488,0,0,0,0.755,0,0,0,0,0,0,167.131,0,0,36.201,0,0.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.401,0,0,0,0,0,0,0,17.886,0,0,0,0.88,1.163,0,0,6.571,0,0,0,8.15,0,0,0,0,0,0,0,0,0,0,189.503,0,0.51,0,53.943,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"COM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"COG",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.586,0,0,656.925,0,0,0,0.051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.143,0,0,0,0,0,0,0,1.689,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.318,0,2.509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
