"AFG","ALB","DZA","ASM","AND","AGO","ATG","AZE","ARG","AUS","AUT","BHS","BHR","BGD","ARM","BRB","BEL","BMU","BOL","BIH","BWA","BRA","BLZ","IOT","SLB","VGB","BRN","BGR","MMR","BDI","BLR","KHM","CMR","CAN","CPV","CYM","CAF","LKA","TCD","CHL","CHN","COL","MYT","COG","COD","CRI","HRV","CUB","CYP","CZE","DNK","DMA","DOM","ECU","SLV","ETH","ERI","EST","FJI","FIN","FRA","PYF","GAB","GEO","DEU","GHA","GIB","KIR","GRC","GRL","GRD","GUM","GTM","GUY","HTI","HND","HKG","HUN","ISL","IDN","IRN","IRQ","IRL","ISR","ITA","CIV","JAM","JPN","KAZ","JOR","KEN","PRK","KOR","KWT","LAO","LBN","LVA","LBR","LBY","LTU","LUX","MAC","MDG","MWI","MYS","MDV","MLI","MLT","MUS","MEX","MNG","MDA","MNE","MAR","MOZ","OMN","NAM","NRU","NPL","NLD","ANT","ABW","NCL","NZL","NIC","NER","NGA","NFK","NOR","PAK","PAN","PNG","PRY","PER","PHL","PCN","POL","PRT","TLS","QAT","ROU","RUS","KNA","LCA","VCT","SMR","STP","SAU","SEN","SRB","SYC","SLE","IND","SGP","SVK","VNM","SVN","ZAF","ZWE","ESP","SDN","SUR","SWZ","SWE","CHE","SYR","TJK","THA","TGO","TKL","TTO","ARE","TUN","TUR","TCA","UGA","UKR","MKD","EGY","GBR","TZA","USA","BFA","URY","UZB","VEN","WSM","YEM","ZMB","COK","GIN","KGZ","MRT","VUT","MNP","GNB","SOM","TON","ATF","GMB","RWA","TKM","BTN","CXR","MSR","SPM","COM","BEN","GNQ","DJI","PSE","LSO","MHL","PLW","WLF","AIA","FSM","NIU","TUV","SHN"
"AUT",11.893,0,59.353,0,0,0,0,586.06,4.106,607.684,0,0,10.096,81.257,0,0,2760.688,0,1.53,383.487,0,177.292,0,0,0,0,0,6896.685,0,0,81.454,0,16.167,422.144,0,0,0,21.415,0,7.652,5120.494,9.331,0,0,1.532,2.368,3704.333,0,15.075,3854.833,881.752,0,0.119,1.578,0,0,0,606.6,0,319.838,5780.112,18.35,0.553,13.585,38307.196,0.319,0,0,158.019,0,0,0,0,0,0,0,381.434,10947.826,31.635,44.528,205.445,708.101,55.845,243.908,2359.432,0,2.274,453.452,36.321,29.295,0,0,742.632,2.478,0,11.481,6.874,0,42.839,54.554,26.732,5.158,13.93,0,107.846,0,0.33,7.16,26.73,216.459,0,26.61,20.807,137.585,8.11,2.492,0.914,0,0,1698.903,0,0,0.084,26.43,11.4,0,780.868,0,264.463,1207.087,0.437,0,0,6.011,5.641,0,2045.845,99.964,0,0.771,2901.945,1595.006,0,0,0,0,0,109.069,0,717.782,2.051,0,1100.627,193.302,943.704,464.34,1450.854,252.111,0,5712.204,0,0,0,1103.225,3757.472,10.068,0,109.62,0,0,0,468.22,18.757,2192.942,0,46.174,106.652,45.833,30.601,6642.873,0,3262.383,0,6.163,0,57.885,0,0,4.255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BHS",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.199,0,0.838,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BHR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,540.098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0.093,0,0,0,3.166,0,0,0,0,0,0.162,0,36.661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BGD",0,0,0,0,0,0,0,0,0,0,1.629,0,0,0,0,0,0,0,0,0,0,5.708,0,0,0,0,0,0,0,0,0,0,0,0.745,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.341,0,45.811,86.936,0,0,0,142.442,0,0,0,0,0,0,0,0,0,0,0,18.711,0,0,0,0,0,16.088,0,0,0,0,17.297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.821,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003,0,0,0.047,0,0.07,0,0,0,63.735,0,0,0,0,0,0,0,0,0,17.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ARM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.025,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,5.653,0,0,0,0,0,0,0,0,0,0,0,0,0,17.4,34.115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BRB",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.355,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0.196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.852,0.011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.76,0,0,0,0,0,0,0,0,7.932,0,52.345,0,0,0,50.242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BEL",21.749,2.978,3573.185,0,1.183,135.747,0,34.093,768.96,2644.832,4314.756,0,92.936,123.201,0,0,0,0,0.062,62.679,45.102,2552.239,1.025,0,1.33,0,4.462,515.993,0,2.592,23.134,0,22.929,380.461,7.924,0,0,14.461,43.959,191.971,728.939,868.031,0,34.013,520.258,0.299,429.263,6.95,511.24,958.356,1659.053,0,27.153,240.627,3.901,4.176,0,478.99,0,947.112,59820.607,1.25,68.299,58.227,35423.956,3.697,0,0,4044.393,0.244,0,0,25.062,0,0,0,4627.317,2051.722,12.297,77.682,1028.571,17.062,1761.87,1576.916,25931.67,22.93,1018.324,779.733,1751.253,49.646,69.972,0,3430.359,128.323,0,110.872,330.998,0.036,289.293,284.39,2204.186,25.654,0.102,0,317.697,0,0,328.846,15.62,1485.631,27.171,4.797,0,617.712,0.193,21.623,0,0,84.53,45247.786,85.309,0,13.607,289.416,101.819,0,172.855,0,985.821,845.582,60.85,0,42.467,177.461,87.029,0,4313.397,3221.143,0,13.362,7131.044,3255.827,0,0,0,75.402,0,977.581,120.599,25.868,2.457,3.749,3329.829,573.288,598.494,111.42,1153.691,924.965,0,17071.968,4.361,0.882,0,6202.056,3493.985,172.439,0,251.32,0,0,63.302,802.608,440.598,3460.424,0,36.192,316.387,1.922,372.337,22377.66,11.881,23246.108,2.118,81.828,0,318.449,0,82.821,0,0,14.067,0.065,0,0,0,0,0,0,63.181,8.07,7.782,0.137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BMU",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BOL",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.419,0,0.325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BIH",0,1.872,0,0,0,14.632,0,0,0,0,0.732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.06,0,0,3.484,0,0,0,0,0,0,0,0,0,0,4.506,0,0,0,49.441,0,0,0,2.664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.737,0,0,1.463,0,0,0,0,0,0,0,0,0,0,0.629,0.074,0,0,0,0,0,0,0,0,0,0,0,0,8.216,0,0,0,0,0,0,0.151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.251,0,0,0,0,0,0,0.574,0,0,2.264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.582,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
