"AFG","ALB","DZA","ASM","AND","AGO","ATG","AZE","ARG","AUS","AUT","BHS","BHR","BGD","ARM","BRB","BEL","BMU","BTN","BOL","BIH","BWA","BRA","BLZ","VGB","BRN","BGR","MMR","BLR","KHM","CMR","CAN","CPV","CYM","CAF","LKA","TCD","CHL","CHN","COL","MYT","COG","COD","COK","CRI","HRV","CUB","CYP","CZE","DNK","DMA","DOM","ECU","SLV","GNQ","ETH","ERI","EST","FJI","FIN","FRA","PYF","DJI","GAB","GEO","GMB","DEU","GHA","GRC","GRD","GUM","GTM","GUY","HTI","HND","HKG","HUN","ISL","IDN","IRN","IRQ","IRL","ISR","ITA","CIV","JAM","JPN","KAZ","JOR","KEN","PRK","KOR","KWT","KGZ","LAO","LBN","LVA","LBY","LTU","LUX","MAC","MDG","MWI","MYS","MDV","MLI","MLT","MRT","MUS","MEX","MNG","MDA","MNE","MSR","MAR","MOZ","OMN","NAM","NRU","NPL","NLD","ANT","ABW","NCL","VUT","NZL","NIC","NER","NGA","NOR","FSM","MHL","PLW","PAK","PAN","PNG","PRY","PER","PHL","PCN","POL","PRT","TLS","QAT","ROU","RUS","KNA","AIA","LCA","VCT","SMR","STP","SAU","SEN","SRB","SYC","SLE","IND","SGP","SVK","VNM","SVN","ZAF","ZWE","ESP","SDN","SWZ","SWE","CHE","SYR","TJK","THA","TGO","TKL","TTO","ARE","TUN","TUR","TCA","UGA","UKR","MKD","EGY","GBR","TZA","USA","BFA","URY","UZB","VEN","WSM","YEM","ZMB","SLB","KIR","GIN","GNB","SOM","TON","ATF","BDI","COM","BEN","GIB","GRL","RWA","TKM","SUR","SPM","PSE","LSO","LBR","MNP","FLK","NIU","NFK","WLF"
"BIH",0,0.155,0,0,0,0,0,0.199,0,0,13.158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.951,0,0,0,0,0,0,0,4.822,0,0.944,0,0,0,87.583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.709,0,0,0,0,0,80.139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.786,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.93,0,0,1.258,0,0,0,0,2.526,0,0,0,0,0,0,0,0,0.188,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0.292,0,0,0,0,0,0,0,0,2.796,26.675,0,0,0,0,0,0,10.547,0,0,0,0,0,0,53.793,0,0,0,0,0,0,0,0,0,0,0,0,0.147,0,0,0,0.839,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BWA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.111,0,0,0,0,0,0,0,0,0,0,2.425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76.319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BRA",0,0,0.254,0,0,146.498,0,0,2684.735,13.439,18.559,0,0,0,0,0.332,36.908,0,0,223.705,0,0,0,0,0,0,0,0,0,0,0,79.229,1.463,0,0,0,0,280.721,21.172,552.293,0,7.286,5.897,0,43.195,0,0,0,0,0,0,17.738,163.026,1.224,0,0,0,0,0,0,51.398,0.043,0,0,0,0,168.303,0.941,35.555,0,0,2.858,0,0,42.949,469.888,34.147,0,4.665,0,0,0,39.825,9.76,0,0.06,20.354,0,1.74,2.41,0.045,68.299,9.158,0,0,48.88,0,0,0,0,0,0,0,239.715,0,0,0,0,0,619.439,6.908,0,0,0,0.105,43.608,0,0,0,0,5.081,0.334,0.782,0,0,0.936,0.647,0,4.445,0.686,0,0,0,14.566,45.752,0,231.764,89.945,0.682,0,6.824,112.213,0,0,0.094,0.406,0,0,0.165,0,0,0,1.208,0.421,0,0,0,13.391,1.788,0,0,0,12.78,0,16.266,0,0,308.583,15.3,0,0,0.919,0,0,0.1,42.56,0.021,24.349,0,0,0.387,0,0.333,64.457,0,2059.699,0,272.032,0,257.516,0,0,0,0,0,0.432,0,0,0,0,0,0,0,0,0,0,0,0.927,0,0,0,0,0,0,0,0,0
"BLZ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,222.034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"VGB",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.935,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BRN",0,0,0,0,0,0,0,0,0,6.863,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.274,0,0,0,0,0,19.465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.313,0,0,0,0,0.098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.843,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,325.198,0,0.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BGR",0,6.23,16.916,0,0,1.414,0,0,2.94,338.386,0.529,0,0,0,0.15,0,15.164,0,0,7.937,22.023,0,32.761,0,0,0,0,0,9.419,0,0,198.098,0,0,0,0,0,5.53,8.576,0,0,0,0,0,1.684,25.6,0,10.121,27.175,15,0,0,0,0,0,0,0,0,0,0,33.194,0,0,0,21.493,0,191.615,0,36.607,0,0,0,0,0,0,0,0,0,0,0,0,3.282,0.397,116.52,0,0,97.027,0,0.882,0,0,1.185,1.232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.568,0,17.512,0.055,0,0.024,0,0,0,0,0,376.616,0,7.847,0,0,4.423,0,0,0,41.338,0,0,0,84.466,0,0,0,0,0,0,5.916,0,0,5.53,61.709,105.724,0,0,0,0,4.795,0,0,0,41.663,0,0,0,2.41,7.711,276.19,11.116,0.75,0,33.409,0,0,40.845,133.807,0,0,29.498,0,0,0,0.797,0,27.431,0,0,0.515,158.921,56.898,156.741,1.529,331.963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MMR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BLR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.892,0,0,0,0,0,0,0.7,0,0,0,0,0,0,0,31.3,0,6.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.895,0,0,0,10.2,0,0,0,4.692,0,0.2,0,0,0,0,6.2,0,0,0,0,0,0,0,0,0,0,0,0,0.7,0,0,0,0,0,0,0,0,5.579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7,1.964,0,3.9,0,832.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109.969,0,0,0,0,0,0,0,0,0.401,0,0,0,0,0,0,0,0,59.4,0,16.025,0,0,0,0,0,0,14.955,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KHM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.815,0,0,0,0,0,0.885,0,0,0,0,0,0,6.134,0,0,0,0,0,0,0,0,0,0,0,0,0,25.151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CMR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76.786,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,13.623,0,0,0,0,22.172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CAN",4.415,47.781,120.203,0,0,189.789,0.534,0.132,1646.099,5735.762,469.205,13.242,0.992,58.698,1.898,3.391,1443.882,70.536,0.557,100.886,7.934,0.051,6308.305,0.387,0,0.016,68.115,0,37.5,37.581,0.954,0,0,0,0,41.321,0,324.073,10113.466,393.668,0,5.915,0,0,23.399,101.703,121.962,53.814,336.317,281.411,0.935,1.534,42.563,2.382,0,77.125,0,67.037,0,965.693,4538.091,0.904,0,44.967,90.241,0,5581.859,0.921,368.715,0.114,0,173.23,0,0.033,8.144,4159.47,1063.553,48.003,138.537,87.504,185.508,108.41,1464.321,1658.331,0,4.079,3733.959,43.222,124.262,0,0,7505.712,98.836,0,0,268.986,5.625,0,8.398,28.744,3.066,142.543,0,424.601,0.233,3.769,4.443,0,34.998,3470.438,0,2.673,3.18,0,65.681,0,15.721,49.759,0,104.517,1708.765,1.009,0.604,1.895,0,382.406,216.495,0,454.909,202.709,0,0,0,431.189,130.022,0,31.314,680.412,1030.501,0,92.692,184.263,0,201.412,136.53,1042.385,0,0,1.376,1.781,0,0,1040.849,21.133,168.198,0,0,5384.277,1620.29,9.059,479.579,6.462,1799.252,0,1066.334,0,0,850.826,609.298,25.937,0,8119.95,0,0,93.18,1100.508,253.671,2263.491,4.389,23.84,220.111,71.927,666.48,18948.163,77.321,278271.847,5.403,292.152,2.946,71.307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.356,0,0,1.456,0,0,0,0,0,0,0,0
"CPV",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.983,0,0,0,0,0,3.093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CYM",0,0,0,0,0,0,0.048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.543,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CAF",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LKA",0,0,0,0,0,0,0,0,0,0.159,5.646,0,0,0.108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,435.402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.516,0,0,0,0,0,0,0,0,0,0,106.606,0,0,0,0,0,0,0,0,46.404,0,0,0,0,0,0,0,0,0,0,469.418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.988,0,0,0,0,1.904,0,0,0,0,0,0,0,0,0,0,13.949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.49,0.15,0,0,0,0,0,1.336,0,0,0,0.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TCD",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CHL",0,0,0,0,11.259,0,0,0,45.785,2.924,0,0,0,0,0,0,158.3,0,0,1953.284,0,0,220.578,0,0,0,0,0,0,0,0,24.859,0,0,0,0,0,0,10,49.624,0,0,0,0,14.457,0,0,0,0,0,0,0,13.277,0,0,0,0,0,0,0,100.051,0,0,0,0,0,45.514,0,0,0,0,45.377,0,0,0.018,209.255,0,0.364,0,0,0,0,12,69.669,0,0,1.5,0,0,0,0,1.908,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.485,0,0,0,0,0,0,0,0,0,0,373.826,0,0,0,0,0.394,0,0,6.935,0,0,0,0,0,3.988,0,2344.526,861.685,0,0,0,0.717,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.985,0,9.266,0,0,0,45.621,0,0,1.976,0,0,0,4.056,0,0,0,0,0,0,0,0,0,0,0,0,0,188.072,0,19.577,0,8.148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CHN",186.315,273.491,3135.286,0,301.454,1241.493,1.143,295.698,20443.195,45838.212,13950.601,17.277,569.403,1740.048,141.102,14.145,26992.532,0,371.865,170.706,503.539,12.461,35023.615,20.982,0,254.578,1797.355,2927.369,543.854,750.863,324.862,47694.192,16.184,0,0,328.771,0,10628.234,0,5352.903,0,184.825,135.162,0,615.428,5316.328,490.777,320.45,36085.431,11495.717,2.528,626.612,2178.536,369.095,10070.39,1302.892,15.4,671.979,143.219,14066.726,81841.212,224.723,19.46,20.584,68.814,6.099,162057.735,743.256,4073.953,1.734,0,822.166,30.277,38.398,400.115,893833.856,37372.686,95.735,22521.329,6480.353,3693.554,8757.004,7294.879,62034.319,113.425,232.328,419627.874,951.626,1608.956,280.25,763.611,323220.477,1249.09,9.271,890.093,1561.99,400.389,175.3,1419.163,736.279,3445.833,68.951,76.667,21080.482,46.489,18.536,198.714,23.336,321.945,67918.509,137.795,157.928,115.223,0,5352.217,139.88,87.884,95.047,0,117.896,146815.456,16.968,2.754,293.239,0.569,7112.126,381.945,31.893,6791.438,8961.487,5.462,12.308,0,7991.677,2663.863,467.489,4919.551,8517.464,6531.972,0,32042.323,5749.983,21.302,318.21,6853.441,19698.332,1.425,0,1.718,27.5,0,0,8025.233,69.806,1267.826,0.59,14.898,50311.933,26826.588,8019.513,21335.801,3352.091,20296.952,16.793,26805.304,4011.035,4.964,8384.899,14279.737,4054.242,63.879,80557.446,270.167,0,405.316,25606.326,1666.836,35662.114,0,31.178,2021.994,344.747,10168.763,129738.778,544.088,1225482.394,6.932,1238.726,209.827,3141.468,0.506,608.39,71.864,0.634,0.116,73.185,0,0,1.408,0,6.395,38.031,128.45,0.19,18.213,13.647,768.023,79.012,0,5.489,9.279,6.198,0,0,0,0,0
"COL",0,0,0,0,0,0,0,0,2.894,0,0.397,0,0,0,0,0,0,0,0,1.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.292,0.709,0,0,0,0,0,99.668,0,0,0,0,0,0,2.022,48.865,0.945,0,0,0,0,0,0,2.609,0,0,0,0,0,11.339,0,1.62,0,0,5.565,0,0,8.449,0,0,0,0,0,0,0,21,0,0,0,19.1,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.83,0,0,0,0,0,0,0,0,0,0,0,8.086,0.513,0,0,0,0,0,0,0,0,0,0,0,17.338,0,0,489.722,0,0,0,0,0,0,0,0.14,0,0,0,0,0,0,0,0,0,0,0,87.705,0,0,0,0,0,0,6.712,0,0,2.239,0.287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,447.919,0,0,0,1231.453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MYT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"COG",0,0,0,0,0,9.904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"COD",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0
"COK",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CRI",0,0,0,0,0,0,0,0,0,3.975,0,0,0,0,0,0.008,0,0,0,0,0,0,0.025,0,0,0,0,0,0,0,0,0.36,0,0,0,0,0,11.569,0,0.046,0,0,0,0,0,1.351,0,0,0,0,0,0.437,33.922,0.338,0,0,0,0,0,0,27.759,0,0,0,0,0,31.586,0,0,0,0,4.867,0,0,3.467,0,0,0,0,0,0,0,1,0.005,0,0,33.109,0,0,0,0,0.27,0,0,0,0,0,0,0,0,0,0,0,2.04,0,0,0,0,0,0.35,0,0,0,0,0.385,0,0,0,0,0,1.395,0,0,0,0,0,0.091,0,0,9.292,0,0,0,0,11.839,0,0,1.148,0,0,1.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.729,0,0,0,27.127,0,0.55,0,0,0,86.555,0,0,470.223,0,0,0,0,0,0.406,0,0,0,0,0,0,0,185.482,0,0,0,22.024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HRV",0,7.157,0,0,0,0,0,0,0,48.864,119.661,0,0,0,0,0,0.879,0,0,0,528.069,0,0,0,10.324,0,3.302,0,0,0,0,3.39,0,0,0,0,0,0,46.975,0,0,0,0,0,0,0,0,0,7.862,0.143,0,0,0,0,0,0,0,0.148,0,0,3.606,0,0,0,0,0,42.38,0,49.94,0,0,0.576,0,0,0,0.089,25.5,0,0,0,0,0.604,0,347.653,0,0,0,0,0,0,0,0,0,0,0,0,1.17,0,3.034,0,0,0,0,0,0,0,0,0,0,0,0,1.152,82.946,0,0,0,0,0,0,0,85.723,0,0,0,0,0,0,0,0,3.381,0,0,0,0,0,0,0,0,0,0,0.818,1.126,0,0,0,0,0,0,0,0,0,0,0,0,441.391,0,0,188.307,0,0,0,23.971,0,0,2.074,0,0,1.086,4.844,0,0,0.996,0,0,0,0,0,1.981,0,0,0,67.399,0,40.914,0,60.167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
