"DZA","AUS","AUT","BEL","BIH","BRA","BGR","BLR","CMR","CAN","CHN","CRI","CZE","DNK","FIN","FRA","DEU","HKG","HUN","IDN","IRQ","IRL","ISR","ITA","JPN","KOR","LUX","MYS","MEX","NAM","NLD","NOR","PAK","PAN","PHL","POL","QAT","RUS","SAU","IND","SGP","SVK","SVN","ZAF","ESP","SWE","CHE","SYR","THA","ARE","TUR","UKR","EGY","GBR","USA","BHR","FJI","NZL","PNG","TLS","TZA","HRV","LTU","GIN","SCG","URY","IRN","PRK","KGZ","ROU","VNM","PYF","CIV","MDG","SYC","TUN","GRC","ISL","BGD","LKA","ALB","ETH","MLT","SDN","YEM","MUS","FSM","BRN","AGO","LVA","GUY","KAZ","UZB","LBN","MMR","NPL","BWA","LSO","MWI","ZWE","SWZ","ZMB","PRT","PER","GMB","EST","ARG","BHS","CHL","COL","CYP","DOM","ECU","SLV","GTM","HTI","JAM","MAC","KNA","TTO","VEN"
"CHN",0,2.948,0,122.082,0,19.05,2.219,0,0,6.337,0,0,0,0,0.353,27.367,4798.699,673.164,0,6.201,0,0,0,100.846,66990.892,2165.778,0,0,0,0,124.598,0,0.6,0,2.898,6.509,1.022,196.519,0,5260.669,3.298,0,0,0,1232.494,0,1.142,0,134.128,0,32.5,655.9,0,191.089,912.767,316.337,0,1900.478,0,0,0,0,0,0,69.809,0,230.75,9.45,37.5,0.417,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CRI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CZE",0,0,60.48,0,0,0,11.747,25.316,0,0,366.55,0,0,0,0,7.464,147.872,0,0,0,0,0,0,0,85.942,0,0,0,0,0,15.965,53.744,0,0,0,1037.958,0,186.861,0,0,0,3.466,0,0,0,0,0,0,0,56.61,0,117.194,0,0,5.191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DNK",0,1066.925,0,0,0,0,0,0,0,0,238.478,0,8.1,0,0,0,11,0,0,0,0,0,0,12.498,1481.249,401.623,0,0,0,0,0,1216.113,0,0,0,10.126,0,18.785,0,0,0,0,0,290.047,0,0.409,0,0,0,0,0,1.19,0,0,1077.503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FIN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.888,2992.373,0,0,0,0,0,0,0,209.222,0,0,0,0,0,0,0,0,0,0,0,0,58.573,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FRA",0,0,18.655,5.417,0,0,133.632,0,21.548,0,2.487,0,18.678,0,0,0,14.07,0,0,0,0,0,0,1.265,3291.12,0,0,0,0,0,12.444,5.23,0,0,0,0,0.122,0,0,792.325,1.55,0,0,0,2.487,0,19.814,0,0,0,0,0,0,23.63,2.487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.109,1.244,4.938,1.499,7.462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DEU",0,0,1721.533,44.142,0,0,43.786,0,0,3.862,11646.676,0,1827.303,0,981.962,1022.518,0,0,0,0.001,0,0,0,112.128,52053.062,899.204,56.193,1.975,0,0,1295.373,7068.087,0,0,0,180.762,1.691,8848.4,55.467,12.06,31272.662,0,9.369,1499.554,52.141,545.223,293.673,0,0,0,0.261,5073.15,0,953.64,49645.488,0.652,0,0,0,0,0,0,124.289,0,0,0,0,0,0,0,0,0,0,0,0,0,45.869,9.346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HKG",0,0,0,0,0,0,0,0,0,0,4105.279,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82.131,3.431,0,0,0,0,0,0,0,64.212,0,0,0,0,7.071,0,0,0.449,0,0,0,0,0,0,0,0,0,0,0,0,0,42.461,0,0,0,0,0,0,0,8.173,0.013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HUN",0,0,0,0,0,0,0,0,0,0,165.793,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"IDN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
