"AFG","ALB","DZA","ASM","AND","AGO","ATG","AZE","ARG","AUS","AUT","BHS","BHR","BGD","ARM","BRB","BEL","BMU","BOL","BIH","BWA","BRA","BLZ","VGB","BRN","BGR","MMR","BDI","BLR","KHM","CMR","CAN","CYM","LKA","TCD","CHL","CHN","CXR","CCK","COL","COM","COG","COD","CRI","HRV","CUB","CYP","CZE","BEN","DNK","DMA","DOM","ECU","SLV","ETH","ERI","EST","FLK","FJI","FIN","FRA","PYF","ATF","DJI","GAB","GEO","GMB","DEU","GHA","GIB","KIR","GRC","GRL","GRD","GUM","GTM","GIN","GUY","HTI","HND","HKG","HUN","ISL","IDN","IRN","IRQ","IRL","ISR","ITA","CIV","JAM","JPN","KAZ","JOR","KEN","PRK","KOR","KWT","KGZ","LAO","LBN","LSO","LVA","LBR","LBY","LTU","LUX","MAC","MDG","MWI","MYS","MDV","MLI","MLT","MRT","MUS","MEX","MNG","MDA","MNE","MSR","MAR","MOZ","OMN","NAM","NRU","NPL","NLD","CUW","ABW","SXM","NCL","NZL","NIC","NER","NGA","NFK","NOR","MHL","PLW","PAK","PAN","PNG","PRY","PER","PHL","PCN","POL","PRT","GNB","QAT","ROU","RUS","RWA","SHN","KNA","AIA","LCA","VCT","SMR","STP","SAU","SEN","SRB","SYC","SLE","IND","SGP","SVK","VNM","SVN","SOM","ZAF","ZWE","ESP","SSD","SDN","SUR","SWZ","SWE","CHE","SYR","TJK","THA","TGO","TON","TTO","ARE","TUN","TUR","TKM","TUV","UGA","UKR","MKD","EGY","GBR","TZA","USA","BFA","URY","UZB","VEN","WSM","YEM","ZMB","SLB","CAF","VUT","TCA","CPV","GNQ","BES","PSE","SPM","BTN","COK","FSM","TLS","WLF","MNP","BLM","IOT"
"BWA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.675,0,0,2.893,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90.687,18.959,0,0,0,0,0.047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.255,0,0.044,0,0,0,0,0,0,3.688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BRA",0,0,7.553,0,0,60.383,0,2.29,2779.337,1249.198,1.697,2.385,37.566,0,2.683,8.941,66.197,0,490.69,0,0,0,0,0,17.55,0,1.734,0,0.067,0.277,0,103.765,0,0,0,753.104,147.62,0,0,1335.957,0,0,0.247,136.947,0.05,13.093,0.225,1.353,0.07,50.508,0,120.38,527.826,32.136,5.47,0,0.419,0,0,3.018,455.795,2.435,0,0,62.958,0.01,0,1442.908,2.376,0,0,10.554,0,0,0,39.33,0.004,5.435,0,32.382,50.921,42.245,0,65.952,0,0.22,2.662,2504.339,18.63,0.189,1.202,43.21,2.761,0.15,33.77,0,72.218,0.355,0,0,62.538,0,0,1.352,0,0,0.019,0,13.515,0,346.805,0,0,2.228,0,0.22,882.542,0,2.974,0,0,2.212,146.412,1.035,0.021,0,0,51.784,12.75,0.318,0,4.857,1.119,17.613,0,2.189,0,9585.779,1.854,0,13.327,214.429,0,1194.913,440.54,1198.348,0,238.22,101.441,0,13.999,3.76,7.557,0,0,0,0,0,0,0,0,41.41,0,0,0.093,0,408.347,50.024,0.024,430.491,4.196,0,23.986,0,138.855,0,2.532,2.921,0,215.609,29.367,0,0,18.022,0,0.142,0.912,49.613,0,12.749,0,0,0.179,0.864,0,14.467,234.415,0,8403.996,0.269,1135.739,0,150.748,0,0,0.19,0,0,0,0,0.877,0,3.563,0,0,0,0,0,0,0,0,0,0
"BLZ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"VGB",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BRN",0,0,0,0,0,0,0,0,0,0.142,0,0,0,0,0,0,1.529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.578,0,0,0,0,0,0,74.492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.563,0,0,0,0,0,0,0.064,0,0,0,0,0,0,0,0,0,0,0,0,0.014,0,0,0,0,0,0,0,0,5.965,0,23.689,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BGR",0,253.773,0,0,0,0,0,4.015,52.571,123.914,630.278,0,0,0,40.583,0,313.198,0,4.082,99.745,0,767.812,0,0,0,0,0,0,114.024,0,0,125.905,0,0,0,2.397,1143.64,0,0,4.097,0,0,0,2.406,1498.162,0,678.016,901.335,0,400.725,0,0,5.806,0.583,0.892,0,202.221,0,0,157.91,1346.506,0,0,0,0,124.515,0,2559.517,0.469,0,0,5952.688,0,0.289,1.484,0.021,0,0,0,0,118.298,2939.24,21.774,0,0,146.544,10.544,28.058,11939.168,0,15.319,100.264,35.568,33.714,6.371,0,204.221,7.605,0,0,4.431,0,1415.427,0,7.564,473.375,17.215,96.694,1.824,0,8.451,0,0,113.883,0,0,44.633,0.639,23.371,12.934,0,82.773,18.674,88.224,0,0,0.463,282.888,0,0,0,0,3.133,0.062,0,1.221,0,20.91,0,0,4.557,59.448,0,0,18.295,42.342,0,1573.577,1322.132,0,16.363,3032.737,119.592,0,0,0,0,0,0,0,0,17.942,2.741,563.531,4.456,0,260.782,53.027,1621.026,64.992,240.593,0,252.108,0.229,2200.233,0,0,0,0,78.875,414.836,0,0,35.332,0,0,0,82.819,0,121.711,0,0,0,258.115,415.449,66.873,5753.188,0,1969.39,9.146,1.316,10.634,0,0,0,0,0,0,0,0,0,0,0,0.872,0,0,0,0,0,0,0,0,0
"MMR",0,0,0,0,0,0,0,0,0,27.36,0.652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.024,0,0,0,0,47.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.654,0,0,0,0,0,0,0,0,0,0,0,0,3.861,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.37,0,0,0,0,0,0,0,0,0,0.522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.308,0.465,0,7.123,0,0,0,0,0,0,0,0,0,0.108,0.664,0,0,10459.215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BDI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.587,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BLR",0,0,0,0,0,1.2,0,0.6,10.4,9.3,24.3,0,0,0,1.7,0,0,0,0,0,0,203.1,0,0,0,11.2,0,0,0,0,0,9.283,0,0,0,13.7,0.101,0,0,0,0,0,0,0,0,0,0,166.102,0,0,0,0,0,0,0,0,1,0,0,9.205,3.3,0,0,0,0,0,0,12.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0,0,15.6,0,0.034,0.1,100.393,0,0,131.478,103.6,0,0.227,0,0,30.7,10.1,0,0,0,5.601,0,0,8.9,0,0,0,0,0,0,0,0,0,0,0.2,4.9,0.7,0,0,0,0,0,0,0,0,268.698,0,0,0,0,0,0,0,0.2,0,2.522,0,0,1.3,0,0.1,0,0.564,0,0,57.199,0.1,0,0,0.521,8854.898,0,0,0,0,0,0,0,0,177.9,0,0.2,0,0,0.3,5.1,1.5,45.2,0,0,10.899,0,22.8,0,0,0,0,7.165,4.4,0,0,0,0,0,0,340.5,0,8.501,0,0,0,198.699,0,0,8.4,0,107.399,0,0,0.201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KHM",0,0,0,0,0,0,0,0,0,1.692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.109,0,0.011,0,0,391.822,0,0,0,0,0,0,0.052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.327,0,0,0,0,0,0,0.991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.028,0,0,0,0,0,0,0,29.087,0,0,0,0,0.232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.5,36.497,0,0,0,0,0,0,0.719,0,0,0,0,0,0,0,0,0,0,0,0,0,160.42,454.8,0,3.816,0,0,262.761,0,0,0,0,0,0,0,0,0,0,3181.895,0,0,0,0.3,0,0,0,0,0.036,0,0,0,0,0,9434.291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CMR",0,0,0,0,0,0,0,0,0,5.084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.335,0,0,0,0,0.489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.469,0,0,0,0,0,0,1.327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.476,0,0,0,0,2.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.11,0,0,0,0,0,0,24.464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.759,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.87,2.775,0,0,0,0.02,0,0,0,0,0,0,0,9.523,0,0,0,0,0,0,0,0,0,0,0,0.563,0,0,0,9.894,0,81.695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CAN",3.9,2.168,10.459,0,0,0,2.98,61.605,1256.042,3312.829,183.828,0.095,21.747,44.296,1.72,23.449,331.411,12.88,5.698,276.482,0,1700.02,1.905,0,6.018,539.304,29.69,0.148,351.1,9.02,0,0,0.018,6.198,7.108,540.942,14558.399,18.416,0,369.671,0,0,7.45,91.563,21.057,41.186,15.961,754.239,1.616,177.04,0,79.633,58.082,3.556,852.99,0,95.207,0,0.235,646.717,5968.784,4.066,0,0.053,65.922,1.247,0.01,10102.621,36.999,6.164,0,88.36,0,0,0,72.934,0,0.653,0,29.006,1719.973,67.988,5.052,1353.936,0,142.859,151.556,537.969,1503.033,2.691,1.174,1587.554,854.328,51.769,11.596,0,1861.143,61.204,2.289,0,4.355,0,96.698,0,0,50.938,306.151,26.872,4.098,0,265.823,0,3.509,2.198,0,5.45,22265.486,12.518,3.48,0.537,0,17.081,6.117,30.588,0.787,0,0,5621.557,0.149,2.198,0,0,1062.85,13.756,0,370.41,0,543.273,0,0,73.933,33.119,20.656,31.06,384.312,121.316,0,490.561,115.027,0,255.899,116.851,2250.555,0,0,0,0,0,0,0,0,589.738,158.787,79.973,0,0,6322.504,2159.642,367.23,432.686,17.538,0,453.425,0.155,654.792,0,23.394,17.15,0,1753.144,1677.769,0,0,2001.225,1.159,0,113.969,3344.587,6.935,1000.188,0,0,18.745,128.44,0.492,79.982,12850.864,2.521,395334.445,12.337,12.617,119.519,67.093,0,0,0.759,0,0,0,0.242,0,0,0,30.698,1.952,0,0,0,0,0,0,0,0
"CYM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.581,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LKA",0,0,0,0,0,0,0,0,0,14.374,1.999,0,0.064,114.825,0,0,0.563,0,0,0,0,159.702,0,0,0,0,0,0,0,232.269,0,11.044,0,0,0,0,3.614,0,0,0,0,0,0,0,0,0,0,3.653,0,1.705,7.443,0,0,0,314.544,0,0,0,0,0,26.79,0,0,0,0,0,0,63.813,0,0,0,0,0,0,0,0,0,0,0,0,34.464,0,0,192.305,0,0,0,0,15.866,0,0,1.449,0,0,12.694,0,0.488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.819,0,0,0,9.556,0,0,0,0,0,0,0,0.001,0,0,0,0.333,0,0,0,0,0.123,0,0,0,0,0,0,0,27.315,0,0,0,0.398,0,0,0.404,0,0,0,6.013,0.365,0,0,0,0,0,0,0,0,0.006,0,0,4.457,0,243.036,12.169,0,46.115,0,0,0,0,0.138,0,0,0,0,0,171.413,0,0,220.393,0,0,0,1.623,0,4.107,0,0,0,0,0,0,1.95,0,133.322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TCD",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CHL",0,0,0,0,2.022,0,0,0,119.114,12.575,2.593,0,0,0,0,0,2.155,0,1266.943,0,0,108.737,0,0,0,0,0,0,0,0,0,174.358,0,0,0,0,464.403,0,0,110.637,0,0,0,0.875,0,0,0,21.855,0,2.475,0,0,308.56,0.002,0,0,0,0,0,0.116,4.766,0,0,0,0,0,0,153.05,0,0,0,0,0,0,0,18.143,0,0,0,0,5.905,0.7,0,0,0,0,0.583,0,12.164,0,0,20,0,0,0,0,3.943,0,0,0,0,0,0,0,0,0,0.738,0,0,0,507.164,0,1.402,0,0,0,257.034,0,0,0,0,0,0.296,0,0,0,0,7.691,0,0,0,0,4.917,0,0,0,0,0.885,0,0,0.088,24.25,0,168.47,1375.927,0,0,0,0,0,0,0,0,0,0,0,58.233,0,0,0,0,0,0,0,0,0,1.189,4.572,0,0,0.078,0,0.324,0,386.558,0,0,0,0,12.353,6.954,0,0,1.875,0,0,0,0.354,0,0,0,0,0,0,0,0,9.677,0,271.882,0,91.255,0,59.486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CHN",2688.012,3860.992,35972.102,0,0.337,5853.324,40.19,4911.491,110005.197,195591.514,34668.188,34.081,12615.135,30634.563,3357.013,250.616,83413.175,28.617,3817.24,3230.801,708.461,299756.186,101.423,0.075,846.263,23459.913,16370.095,245.98,8670.847,17042.048,5424.441,380262.85,89.853,18152.87,1043.291,55993.259,0,0,0,55949.935,291.171,3066.199,4343.057,8759.388,38704.257,7914.468,2552.633,105529.685,2123.235,31043.07,117.331,22249.174,23929.399,11441.849,6121.893,27.543,6237.356,0,755.828,25406.994,358599.389,1074.537,0,10260.818,1570.254,3678.397,644.206,757726.673,13898.432,32.937,25.288,50234.975,2.561,16.814,0,14960.056,2564.744,1276.339,2992.02,4243.352,1776844.136,51811.166,1987.454,229299.974,32165.264,156119.471,19608.999,44850.551,212942.604,3771.986,3429.48,1382395.976,61984.645,15478.889,10163.771,0.557,520085.862,19117.755,2868.664,6671.338,13248.265,3.699,9973.884,1223.335,14868.735,6100.315,2441.7,3194.911,2177.788,1122.48,209905.144,1057.182,183.88,2273.308,562.571,2485.047,303190.838,1209.818,3541.776,1255.031,0,25542.646,6586.131,8707.921,356.256,0,4217.553,604515.201,311.504,66.881,0,277.273,37240.023,2848.542,354.497,56600.369,0,47490.368,454.852,17.587,46274.605,37538.943,973.931,17360.387,52060.909,117906.268,0,306154.43,23091.79,8.945,10723.608,42370.312,462103.164,211.307,0,15.393,0,147.753,195.144,161.263,5.517,204279.721,5334.014,11019.885,155.844,1456.769,203860.177,241340.685,16659.374,388152.532,15935.895,2706.807,73903.727,1663.384,206987.728,203.431,9085.897,545.587,238.41,57356.426,57565.155,6111.945,2931.908,366952.865,4492.358,17.606,2766.379,128060.329,12830.499,108919.148,1066.564,0,1546.273,90979.805,2934.521,50669.088,556562.844,11344.16,4541874.777,206.357,10153.179,11888.611,20632.537,158.58,18971.182,1571.84,54.322,2.012,199.447,1.261,155.406,548.093,0,1349.114,0,19.194,13.068,0.081,539.058,0.796,0,0,0
"CXR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73.291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CCK",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.293,0,0,0,0,0,0,0,0,0,0,0,0.108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.036,0,0,0,10.483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.897,0,19.237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"COL",0,0,0,0,0,0,0,0,0.691,0,0,0,0,0,0,3.368,1.505,0,4.28,0,0,402.32,0,0,0,0,0,0,0,0,0,1.944,0,0,0,64.53,32.383,0,0,0,0,0,0,127.265,3.824,0,0,0,0,80.963,0,7.165,332.638,74.638,0,0,0,0,0,0,12.954,0,0,0,0,0,0,2.195,0,0,0,0,0,0,0,33.132,0,0,0,20.796,193.041,0.525,0,7.866,0,0,6.854,0,0,0,0,4.861,0,0,0,0,0,9.296,0,0,0,0,0,0,0,0,0.11,0,0,0,394.16,0,0,0.106,0,0,433.828,0.484,0,0,0,0,0,0,0,0,0,5.777,0.962,2.272,0,0,0,2.591,0,0,0,2.321,0,0,0,144.907,0,0,322.192,0,0,0.192,0,0,5.55,0,0,0,0,0,0,0,0,0,0,17.74,0,0,0,0,1.721,0,0,0,0.335,0,0,0,71.744,0,0,0,0,9.963,4.879,0,0,3.664,0,0,13.324,0.204,0,0.404,0,0,0,0,0,12.663,4.039,0,764.091,0,0.237,0,37.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"COM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.184,0,0,0,0,0,0,0,0,0,0,0,0,1.389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"COG",0,0,0,0,0,2.336,0,0,0,0,0,0,0,0,0,0,6.652,0,0,0,0,0,0,0,0,0,0,0.021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.396,0,0,0,0,0,0,0,0,0,0,0.321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86.118,51.288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.603,0,0,0,0,0,156.234,0,0,0,0,0,0,0,0,0,0,0,0,83.508,0,0,0,0,0,0,0,0,0,0,53.214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"COD",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.114,0,0.344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.662,0,0,0,0,0,0,0.642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.256,0,0,31.771,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.018,0,0,0,0,0,2.863,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.509,0,0,0,0,0,0,0,0,32.961,0,50.075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CRI",0,0,0,0,0,0,0,0,4.992,6.565,0.189,0,0,0,0,0,0,0,0.087,0,0,60.137,8.873,0,0,0,0,0,0,0,0,4.323,0,0,0,2.925,6.449,0,0,9.358,0,0,0,0,0.383,31.988,0,0.179,0,10.501,0,17.025,1.047,79.435,0,0,0,0,0,0,0.532,0,0,0,0,0,0,54.784,0,0,0,0,0,0,0,332.303,0,3.063,0,102.943,0,0.05,0,0,0,0,0,0,45.979,0,7.24,18.78,0,0,0,0,59.838,0,0,0,0,0,0,0,0,0,0,0,0,0,0.132,0,0,0,0,0,14.527,0,0,0,0,0,0,0,0,0,0,3.141,0.406,0,0,0,0,172.639,0,0,0,0,0,0,0,34.658,0,0,12.45,0,0,0.178,0.02,0,0,0,0.047,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0.733,0.689,0,2.797,0.402,0,0,0,11.57,0,0,0,0,0,0,0,0,223.548,0,0,16.588,3.159,0,2.309,0,0,0,0,0,0,0.042,0,580.931,0,0,0,89.239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
