"AFG","ALB","DZA","ASM","AND","AGO","ATG","AZE","ARG","AUS","AUT","BHS","BHR","BGD","ARM","BRB","BEL","BMU","BOL","BIH","BWA","BRA","BLZ","VGB","BRN","BGR","MMR","BDI","BLR","KHM","CMR","CAN","CYM","LKA","TCD","CHL","CHN","CXR","CCK","COL","COM","COG","COD","CRI","HRV","CUB","CYP","CZE","BEN","DNK","DMA","DOM","ECU","SLV","ETH","ERI","EST","FLK","FJI","FIN","FRA","PYF","ATF","DJI","GAB","GEO","GMB","DEU","GHA","GIB","KIR","GRC","GRL","GRD","GUM","GTM","GIN","GUY","HTI","HND","HKG","HUN","ISL","IDN","IRN","IRQ","IRL","ISR","ITA","CIV","JAM","JPN","KAZ","JOR","KEN","PRK","KOR","KWT","KGZ","LAO","LBN","LSO","LVA","LBR","LBY","LTU","LUX","MAC","MDG","MWI","MYS","MDV","MLI","MLT","MRT","MUS","MEX","MNG","MDA","MNE","MSR","MAR","MOZ","OMN","NAM","NRU","NPL","NLD","CUW","ABW","SXM","NCL","NZL","NIC","NER","NGA","NFK","NOR","MHL","PLW","PAK","PAN","PNG","PRY","PER","PHL","PCN","POL","PRT","GNB","QAT","ROU","RUS","RWA","SHN","KNA","AIA","LCA","VCT","SMR","STP","SAU","SEN","SRB","SYC","SLE","IND","SGP","SVK","VNM","SVN","SOM","ZAF","ZWE","ESP","SSD","SDN","SUR","SWZ","SWE","CHE","SYR","TJK","THA","TGO","TON","TTO","ARE","TUN","TUR","TKM","TUV","UGA","UKR","MKD","EGY","GBR","TZA","USA","BFA","URY","UZB","VEN","WSM","YEM","ZMB","SLB","CAF","VUT","TCA","CPV","GNQ","BES","PSE","SPM","BTN","COK","FSM","TLS","WLF","MNP","BLM","IOT"
"AUT",0,78.844,83.79,0,8.599,7.653,0,49.41,18.676,1242.641,0,0,24.486,4.597,17.758,0,555.014,0,1.245,85.395,0.902,269.182,0,0,0,2458.979,14.4,6.714,10.069,1.128,1.018,9657.421,0,108.003,0.66,272.821,13505.707,0,0,194.288,0.012,4.643,0,29.543,1470.345,0,82.389,5148.791,0,2353.309,0,29.325,17.293,0.967,23.766,0,640.818,0,0,1906.441,4681.743,3.786,0,0,0,21.114,0,41379.024,0.698,0,0,959.584,0,0.41,0,135.165,0,0,0,0.89,2020.112,4688.129,34.185,821.92,4.77,7.895,107.994,207.638,3321.458,79.112,0,950.312,12.687,11.63,72.744,0,1849.796,986.305,3.517,1.98,12.217,0.076,29.587,0,9.05,582.477,777.636,0.301,0,2.102,438.437,5.194,0,22.334,0,6.621,562.516,7.518,6.926,16.611,0,277.827,2.55,25.085,0,0,0.147,6204.509,0.237,0,0,8.503,177.703,0.004,2.638,4.219,0,2356.802,0,0,28.73,72.645,4.962,9.774,53.145,74.899,0,3661.111,677.338,0,73.907,3231.793,797.286,0,0,0,0,0,0,5.415,0,155.866,3.295,702.77,0.001,0,2949.536,763.352,1289.304,113.849,1814.04,0,114.699,0.413,4529.887,0.119,0.059,0,0,2967.37,19184.667,0,1.389,342.728,2.632,0,2.056,465.901,21.103,731.974,1.583,0,8.016,184.416,71.514,309.424,7607.36,6.692,18313.929,2.839,2.313,2.602,4.795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BHS",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.554,0,0,0,0,0,0,0,0,0,0,0,0,7.648,0,0,0,0,0,0,0,0,0,0.056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.908,0,0,0,0,0,0,0,7.105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BHR",0,0,0,0,0,0,0,0,0,0,0.617,0,0,0,0,0,1.04,0,0.064,0,0,0,0,0,0,0,0,0,0,0,0,8.547,0,0.063,0,1.419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.037,0,0,0,0,0,0,0,0,0,0,3.624,0,0,0,0,0,0,0,0,0,0.524,0,0,0,0,0,0,4.611,0,0,0,0,0,0,0,0,32.405,0,0,0,0,0,0,0,0,0.076,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0.932,0,0,0,0,0,0,0,0.479,0,0,0,0,36.184,0,0,0,0,0,0,0.303,0,0,0,0,0,0,0,0,0,0,0,0,0,23.971,0,0,0,0,3.996,0,0,0,0,0,0.303,0,0.057,0,0,0,0,0,3.37,0,0,0,0,0,0,0,0,0,0,0,0.991,0,0,0.338,216.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BGD",0,0,0,0,0,0,0,0,2.519,0,11.768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.7,0,3.429,0,258.97,0,0,0.041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.189,0,0,18.035,4.304,0,0,0,0,0,0,4.618,0,0,0,0.146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3774.791,0,0,0,0,0.333,0,0,0,0,0,0,0,0,0,0.156,0,0,0,0,0,0,0,0,10.161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.062,0,76.844,0,0,139.763,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,154.918,0,0,0,0,0,0.401,0,0.837,0,0,0,0,0,0.391,0,0,10.185,0,0,0,0,0,1.238,0,0,0,0,0,0,101.071,0,94.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ARM",0,0,0,0,0,0,0,0,0,0,0.118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.293,0,0,0,0,0,0,0,5.193,0,0,0,0,0,0,0,0,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0.003,0.081,0,0,0,0,14.464,0,32.003,0,0,0,0,0,0,0,0,0,0,0,0,25.025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.761,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004,0,193.959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.122,0,0,0,0,0,0,0,0,1.194,140.421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.095,0,0,0.026,0,0,0.912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BRB",0,0,0,0,0,0,0,0,0,0,0,0.104,0,0,0,0,0,3.999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.028,0,0.248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.448,0,0,0.128,0,0,0,0,0,0,0,0,0,0.608,0,9.178,0,0,0,0,0,0,0,0,0,0,0.002,0,0,0,0,0,0,0,0,0,0,0,0,0
"BEL",0.877,11.338,16.678,0,0.441,6.815,0,28.645,56.489,633.274,2352.945,0,14.171,12.166,7.497,0.023,0,7.417,0.125,38.623,0.451,280.189,0,0,0.276,192.475,3.038,22.464,17.037,6.101,37.94,862.94,0,3.473,14.383,51.938,2232.625,0,0,114.054,2.949,45.076,137.647,11.377,703.54,30.778,148.529,1885.908,20.377,2189.54,0,2.474,8.364,1.544,15.741,0,713.826,0,0,639.276,44930.867,29.362,0,1.128,15.643,130.39,0.705,33493.794,22.247,0.931,0,1329.877,0,0.099,0,2.769,15.383,0,0,58.756,958.505,1497.392,27.899,8.737,0,27.48,1090.893,1264.937,11102.73,58.781,16.008,599.615,26.323,9.83,4.443,0,152.464,39.436,0.456,0,14.756,0,329.675,0.201,0,852.564,2345.912,0,1.954,0.151,503.94,0.417,4.856,186.002,36.449,164.348,155.643,8.109,19.806,4.983,0,145.421,9.81,59.739,4.854,0,0,32813.359,130.825,0,7.368,131.067,55.059,28.134,0.018,277.971,0,1629.612,0,0,102.612,43.952,114.655,7.92,119.782,63.068,0,5648.28,1853.071,3.883,75.615,2106.159,864.001,55.399,0,0,0,0.127,0,88.776,0,316.275,31.448,119.889,0.981,0,1154.271,429.62,894.199,196.452,165.726,0,136.166,0.674,7454.865,0,0.029,138.077,0,6261.8,2193.138,0,0,106.653,3.648,0,0,503.407,220.715,1024.784,0,0,2.55,146.029,274.577,84.46,18410.388,5.707,17099.428,34.209,1958.921,5.418,0.183,0,0,0.911,0,1.821,0,0,0.375,9.708,0,0,0,0,0,0,0,0,0,0,0
"BMU",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.026,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BOL",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180.323,2.006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.569,0,0,0,0,0,0,0,151.248,0,0,0,0,0,0,0.995,0,0,0,0,0,0,0,0,0,9.318,0,0,0.762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.989,0,0,0,0,9.32,0,0,0,0,0,0,0,33.669,0,0,0,0,0.664,0.039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BIH",0,0.282,0,0,0,0,0,0,0,0,235.906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.666,0,0,0,0,0,0,0,0,0,22.668,0,0,0,0,0,0,0,0,161.771,0,0,0.246,0,0,0,0,0,0,0,0,0,0,0,0,0.117,0,0,0,0,0,0,515.504,0,0,0,0,0,0,0,0,0,0,0,0,0,7.222,0,0,0,0,0,2,11.884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.217,0,0.222,0,0,0,0,0,0,0,0,0,0,0,0,91.379,0,0,0,0,0,0,0,384.978,0,0,0,0,0.009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.475,0.027,6.587,0,0,0,0,0,0,0,0,0,55.794,0,0,4.681,0,0,0,10.838,0,0,0,0,0,0,0,0,0.55,10.339,0,0,1.751,0,0,0,0,0,0,0,0,0,0,0.993,3.232,0.345,0,1.693,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
