"AFG","ALB","DZA","AND","AGO","ATG","AZE","ARG","AUS","AUT","BHS","BHR","BGD","BRB","BEL","BMU","BOL","BIH","BWA","BRA","BLZ","VGB","BRN","BGR","BDI","BLR","KHM","CMR","CAN","CPV","CYM","CAF","LKA","TCD","CHL","CHN","COL","MYT","COG","COD","CRI","HRV","CUB","CYP","CZE","BEN","DNK","DMA","DOM","ECU","SLV","GNQ","ERI","EST","FJI","FIN","FRA","PYF","DJI","GAB","GEO","GMB","DEU","GHA","GIB","GRC","GRL","GRD","GUM","GTM","GIN","GUY","HND","HKG","HUN","ISL","IDN","IRN","IRQ","IRL","ISR","ITA","CIV","JAM","JPN","KAZ","JOR","KEN","PRK","KOR","KWT","KGZ","LAO","LBN","LVA","LBR","LBY","LTU","LUX","MAC","MDG","MWI","MYS","MDV","MLI","MLT","MRT","MUS","MEX","MNG","MDA","MNE","MSR","MAR","MOZ","OMN","NAM","NRU","NPL","NLD","ANT","ABW","NCL","NZL","NIC","NER","NGA","NOR","MHL","PAK","PAN","PNG","PRY","PER","PHL","POL","PRT","GNB","TLS","QAT","ROU","RUS","SHN","KNA","AIA","LCA","SPM","VCT","STP","SAU","SEN","SRB","SYC","IND","SGP","SVK","VNM","SVN","ZAF","ZWE","ESP","SDN","SUR","SWZ","SWE","CHE","SYR","THA","TGO","TKL","TTO","ARE","TUN","TUR","TKM","TCA","UGA","UKR","MKD","EGY","GBR","TZA","USA","URY","UZB","VEN","WSM","YEM","ZMB","HTI","ASM","SLB","CXR","CCK","COK","ETH","FLK","KIR","VUT","NFK","PLW","SOM","TJK","TON","ARM","RWA","SMR","SLE","BFA","IOT","BTN","MMR","LSO","COM","PSE","TUV","WLF","NIU","FSM"
"BLZ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.517,0,0,0,0,5.045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56.133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95.831,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.54,0,527.703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"VGB",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117.383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91.433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BRN",0,0,0,0,0,0,0,0,12.456,0.997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.317,0.51,0,0,0,0,0,0,0,0,0,0,0,0,19.984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.857,0,0,0,0,0,0,0,0,0,0,0,0,7.162,0,0,0,0,0,0,0,0,0,0,0,0,7.453,0,24.242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BGR",0,7.551,0.24,0,0,0,0,0,173.218,29.159,0,0,0,0,37.614,0,0.933,63.497,0,80.942,0,0,0,0,0,1.3,0,0,78.125,0,0,0,0,0,0,3.708,22.955,0,0,0,0,10.597,0,0,25.452,0,11.968,0,0,0,0,0,0,0.111,0,7.657,118.385,0,0,0,0.555,0,321.566,0,0,42.854,6.826,0,0,0,0,0,0,2.263,1.602,0,0,0,0,0.595,8.814,2446.731,0,0,69.231,9.668,0,0.259,0,0,0,0,0,0,0,0,0,0.155,0,0,0,0,0,0,0,0.912,0,0,157.401,0,0.558,0,0,0.966,0,0,0,0,0,23.639,0,0,0,11.8,0,0,0.204,29.616,0,0,0,0,0,0,0,43.975,14.917,0,0,0,8.284,187.685,0,0,0,0,0,0,0,15.451,0,143.651,0,22.538,0,4.538,5.34,4.01,38.026,0,47.512,10.668,0,0,58.11,27.262,0,1.553,0,0,0,13.995,0,11.016,0,0,0,836.545,53.765,0,149.01,0,253.662,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.229,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BDI",0,0,0,0,0,0,0,0,0,2.207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BLR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.5,0,9,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,12.188,0,0,0,0,15.3,0,0,27.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.1,0,0,0,0,1.4,1219.2,0,0,0,0,0,0,0,0,0,2.116,0,0,0,4.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.1,0,0,0,0,60.538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KHM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.626,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.136,0,0,0.407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CMR",0,0,0,0,0,0,0,0.224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.564,0,0,0,0,0,0,0.005,0,0,1.62,0,0,2.926,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.614,0,0,0,0,0,0,2.223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.379,0,0,0,0,0,0,0.247,0,6.176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CAN",0,0,319.563,0,0,0.148,2.539,1285.79,4105.895,452.248,7.793,61.848,12.976,53.164,959.044,4.692,1.181,21.789,61.416,3238.297,2.483,0,8.022,30.862,0.041,4.6,16.222,0.046,0,0,2.503,0,82.639,0,600.967,10738.498,640.234,0,0,0,61.914,23.47,138.096,136.775,164.581,0,410.9,0.983,10.544,5.118,0,0,0,148.771,0,395.802,2871.455,0.446,0,29.548,157.375,0,5112.39,0.184,0,742.579,0,25.076,0,31.037,0,0.09,100.739,5012.31,167.718,25.081,371.787,18.377,43.276,146.628,4972.209,1494.367,0,80.898,13368.65,54.759,269.691,101.535,1.6,31119.907,108.97,2.101,0,248.799,28.373,0,0.774,27.779,486.808,63.293,0,0,803.681,0,336.157,5.371,0,0,5244.285,0,83.854,15.002,0,53.13,18.367,25.653,3.305,0,35.914,1445.728,13.688,0.378,40.955,504.254,0.555,37.69,105.917,765.085,0,41.836,40.808,84.142,14.064,666.399,699.057,196.259,267.365,0,0,236.628,841.695,1226.56,0,0.352,0,8.011,0.052,5.931,0,348.443,0,72.794,71.136,4655.402,3276.629,54.97,34.438,100.841,621.633,0,813.842,14.865,2.642,0,1037.463,620.014,12.278,1641.837,11.833,0,109.185,834.421,20.303,1005.729,39.036,7.941,16.121,202.684,6.765,557.07,14599.779,3.61,323203.182,19.878,0,180.606,0,7.166,75.417,0,179.512,0,0,0,0,5.618,0,0,0,0,0,0,0,0,0.651,0,0,0,0,0.157,0,0,0,0,0,0,0,0,0
"CPV",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.676,0,0,0,0,0,0.124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.946,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.215,0,0,0,7.161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CYM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CAF",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.614,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LKA",0,0,0,0,0,0,0,0,5.695,0,0,0,0.198,0,0,0,0,0,0,0,0,0,0,0,0,0,25.396,0,0,0,0,0,0,0,0,352.495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,97.542,0,56.708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.279,9.945,0,0,0,0,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.719,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.723,0.961,0,0,0,0,0,0,0,0,0,0,45.106,1391.354,0,808.228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78.777,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TCD",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CHL",0,0,0,0,0,0,0,23.932,10.866,1.161,0,0,0,0,0,0,2185.075,0,0,6.072,0,0,0,0,0,0,0,0,9.025,0,0,0,0,0,0,0,176.483,0,0,0,34.449,0,0,0,0,0,0,0,4.8,9.906,1.978,0,0,0,0,0,6.278,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.298,1.172,0,0,0,0,0,0,0,4.153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.791,0,0,0,0,0,0,0,0,0,0,201.78,0,0,0,1.848,0.184,0,0,0,0,0,3.045,0,1825.023,662.228,0,0,0.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.284,0,76.142,0,0,0,177.026,10.166,0,1.323,0,0,0,0,0,0,0,0,0,0,0,0,13.175,0,78.467,15.638,0,3.009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CHN",30.973,8.993,985.095,488.127,7585.978,2.245,293.125,16712.896,26665.373,3257.686,0.003,126.039,708.391,11.411,17221.005,0,51.412,195.851,0.601,18658.267,9.965,0,158.053,1352.096,0.438,590.627,261.618,45.834,22388.103,20.209,3.741,0,381.091,0,7376.246,0,2426.82,17.546,65.68,37.176,630.14,6112.576,282.986,210.419,6918.574,1523.766,6141.122,7.599,370.514,1421.709,211.389,287.633,0,367.557,4.494,12570.148,51884.782,172.529,0,7.289,22.735,2.891,100695.793,464.774,0,2845.473,2.058,3.455,0,171.558,3.2,1.352,32.711,1271394.3,7325.865,181.841,10796.615,5387.309,437.633,6064.76,4540.441,29014.478,147.996,36.191,365563.04,633.394,722.972,52.312,79.257,343816.459,415.291,0.375,1104.361,853.301,283.696,20.262,93.938,1140.477,412.837,992.407,54.282,20.803,11527.484,17.589,24.152,60.872,0,263.663,50402.62,275.959,672.194,2.138,0.081,9216.312,8.797,30.006,11.657,0,154.972,66256.977,5.751,0,62.87,5828.512,121.114,0.167,2331.309,2873.49,39.6,3513.534,1051.257,64.575,3082.524,3202.623,1647.517,9742.739,1422.095,3.377,0.35,160.643,2958.212,11944.047,0,0.189,0,1.404,0,1.811,0,3719.13,3.605,507.812,11.734,19353.897,11479.545,1699.661,5338.685,929.228,12294.491,0.7,15222.962,666.705,45.746,18.52,8485.028,1687.674,1958.904,58722.301,47.827,0,104.551,17069.048,252.445,33009.786,1.1,0,14.255,6669.367,154.96,5806.036,69838.758,94.771,609133.045,305.744,210.048,1330.587,0,123.428,0.858,0,0,0.14,0,0,0,22.829,0,0,2.92,0,0,0,0,0,31.123,19.59,0,1.273,1.832,0,118.789,320.551,0.011,0,0,0,0,0,0
"COL",0,0,0,0,0,0,0,0.748,0,0,0,0,0,0,0,0,4.361,0,0,51.205,0,0,0,0,0,0,0,0,112.838,0,0,0,0,0,0.58,0,0,0,0,0,14.933,0,0,0,0,0,0,0,0,24.389,0,0,0,0,0,0,0,0,0,0,0,0,0.818,0,0,0,0,0,0,0.42,0,0,2.597,0,0,0,0,0,0,0,47,0.422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.095,0,0,0,0,0,0,0,0,0,0,0,1.014,0,0,0,0,0,0,0,0,0,12.53,0,0,5.626,0,0.113,0,0,0,0,0,0,0,0,0,0,0,0,0,77.437,0,0,0,0,0,0,0,0,0,0,11.187,0,0,0,0.136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74.296,0.88,0,88.544,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MYT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"COG",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"COD",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.555,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CRI",0,0,0,0,0,0,0,17.998,2.387,4.558,0,0,0,0,20.59,0,0,0,0,24.15,0,0,0,0,0,0,0,0,40.117,0,0,0,0,0,28.358,1376.855,0,0,0,0,0,74.628,7.802,0,86.761,0,0,0,0,2.116,51.642,0,0,0,0,401.7,38.405,0,0,0,0,0,288.345,0,0,1.183,0,0,0,17.953,0,0,0.14,0.876,0,0,0,0,0,0,739.06,0,0,0,108.556,0,0,0,0,2813.711,0,0,0,0,0,0,0,0,0,0,0,0,47.4,0,0,0,0,0,0.134,0,0,0,0,0,0,0,0,0,0,14639.451,0,0,0,0,7.12,0,0,4.351,0,0,0.534,0,0,0,0,0,2.536,0,0,0,11.583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.457,122.145,0,0.571,0,0,0,1.145,0,0,251.37,0,0,0,0,0,0,0,0,0,0,0,0,41.263,0,7295.567,0,0,0.939,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HRV",0,34.886,0,0,0,0,0,0,5.248,617.211,0,0,0,0,7.682,0,0,640.444,0,0,0,0,0,10.512,0,0,0,0,0,0,0,0,0,0,0,5.121,0,0,0,0,0,0,0,0,0.122,0,0,0,0,0,0,0,0,0,0,0.172,3.216,0,0,0,0,0,235.474,0,0,0,0,0,0,0,0,0,0,0.241,33.419,0,0,0,0,1.634,27.567,689.704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.033,0,0,0,0,0,0,0.09,0,0,2.698,0,0,30.432,0,0,0,0,0,0,0,47.885,0,0,0,0,0,0,0,5.836,0,0,0,0,0,0,0,0.245,31.755,0,0,0,0,0,0,0,0,0,0,0,0,0,0,589.083,0,0,0,33.963,0,30.971,0,0,5.691,0,0,0,1.904,10.321,0,20.408,0,0,0,2.39,0,10.183,0,0,0,0.866,9.359,0,34.197,0,263.942,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CUB",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.91,0,0,0,0,0,0,30.024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.22,0,0,0,0,0,0,0,0,0,0,0,0,0,1.064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.545,0,0,0,0,18.111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CYP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93.703,0,0,0,0,0,0.552,0,0,0,0,0.721,0,0,0,0,0,0,0,0,0,3.038,0,0,0,0,0,3.773,0,0,35.345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.97,0,0,0,0,0,0,0,0,1.3,0,0,0,27.349,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.049,0,0,0,14.762,0,0,0,0,0,0,0,0,0,0,0,0.745,0,0,0,0.72,0,0,0,0,0,0,0,0,8.695,2.186,3.849,0,0,0,0,0,0,0,0,0,0,0,0,0,17.374,0,5.106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CZE",0,338.335,0.442,0,0,0,1.334,1161.156,88.638,1140.955,0,0,0,0,236.757,0,0,12.878,0,15.116,0,0,0.319,518.152,0,2.57,0,0,214.368,0,0,0,0,0,2.16,112.193,23.6,0.103,0,0,0.132,55.855,7.176,1.404,0,0,12853.039,0,0,37.241,0,0,0,242.406,0,180.11,4397.122,0,0,0,0.165,0,7789.082,0,0,39.98,1.882,0,0,0,0,0,0,525.528,1558.7,10.597,0.105,26.428,0,204.872,44.834,980.591,0.921,0,249.231,1.888,0,0.259,0,19.275,23.599,0,0,7.286,3.684,0,34.556,251.712,20.777,0,0,0,61.989,0,0,0.008,0,0.326,78.203,0.245,0.362,0,0,1.604,0,14.246,0,0,0,1439.671,0,0,3.933,0.429,1.035,0,0,61.237,0,52.192,0,0,0,0.339,0,615.342,17.345,0,0,0,217.773,479.29,0,0,0,0,0,0,0,0.319,0,2.192,0,51.597,5.77,5013.209,2.041,35.538,113.144,0,345.506,0,0,0,1070.048,4516.401,0,222.718,0,0,1.806,9.858,0.731,88.984,0,0,0,93.945,20.575,0,527.022,4.775,451.645,0.128,0,4.98,0,0,0,0,0,0,0,0,0,3.98,0,0,0,0,0,0,0,0,22.313,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BEN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
