"AFG","ALB","DZA","AND","AGO","ATG","AZE","ARG","AUS","AUT","BHS","BHR","BGD","BRB","BEL","BMU","BOL","BIH","BWA","BRA","BLZ","VGB","BRN","BGR","BDI","BLR","KHM","CMR","CAN","CPV","CYM","CAF","LKA","TCD","CHL","CHN","COL","MYT","COG","COD","CRI","HRV","CUB","CYP","CZE","BEN","DNK","DMA","DOM","ECU","SLV","GNQ","ERI","EST","FJI","FIN","FRA","PYF","DJI","GAB","GEO","GMB","DEU","GHA","GIB","GRC","GRL","GRD","GUM","GTM","GIN","GUY","HND","HKG","HUN","ISL","IDN","IRN","IRQ","IRL","ISR","ITA","CIV","JAM","JPN","KAZ","JOR","KEN","PRK","KOR","KWT","KGZ","LAO","LBN","LVA","LBR","LBY","LTU","LUX","MAC","MDG","MWI","MYS","MDV","MLI","MLT","MRT","MUS","MEX","MNG","MDA","MNE","MSR","MAR","MOZ","OMN","NAM","NRU","NPL","NLD","ANT","ABW","NCL","NZL","NIC","NER","NGA","NOR","MHL","PAK","PAN","PNG","PRY","PER","PHL","POL","PRT","GNB","TLS","QAT","ROU","RUS","SHN","KNA","AIA","LCA","SPM","VCT","STP","SAU","SEN","SRB","SYC","IND","SGP","SVK","VNM","SVN","ZAF","ZWE","ESP","SDN","SUR","SWZ","SWE","CHE","SYR","THA","TGO","TKL","TTO","ARE","TUN","TUR","TKM","TCA","UGA","UKR","MKD","EGY","GBR","TZA","USA","URY","UZB","VEN","WSM","YEM","ZMB","HTI","ASM","SLB","CXR","CCK","COK","ETH","FLK","KIR","VUT","NFK","PLW","SOM","TJK","TON","ARM","RWA","SMR","SLE","BFA","IOT","BTN","MMR","LSO","COM","PSE","TUV","WLF","NIU","FSM"
"BHS",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BHR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.767,0,0,0,0,0,198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.174,0,0,0,0,0,0,0,0,0,0,3.058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BGD",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.738,0.955,0,0,0,0,0,0,0,6.444,11.018,0,0,0,0,0,59.254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,146.099,0,0,0,0,203.304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.275,0,0,0,0,0,0,0,0,0,0,0,0,0.87,0,0,0,0,0,0,4.546,0,0,0,3.538,0.578,0,0,0,0,0,0,0,0,0,0,0,0,0.058,0,0,0,125.602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BRB",0,0,0,0,0,62.161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.865,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.739,0,26.727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BEL",56.591,0,537.311,0.054,0.269,0,37.626,150.697,3744.047,2536.162,23.002,59.652,96.299,0.678,0,17.523,0,0.164,0,2529.347,0,0,33.59,238.894,41.804,13.053,0,14.88,580.32,0.095,0,0,28.317,0,112.095,2399.162,246.173,0.224,7.715,58.934,28.387,207.986,3.361,499.406,1951.804,0,2284.82,0,0,101.618,23.93,0,0,318.232,0,1404.206,38419.327,15.12,0,5.413,4.707,0,36055.335,1.732,0,1739.481,1.055,0,0,47.001,5.908,0,0,5186.687,2397.156,70.248,23.354,137.456,0,1673.545,604.377,18961.538,8.947,31.543,1031.594,124.342,404.252,27.626,0,3987.613,5.921,0,0,60.774,292.907,0,0,641.036,2691.611,0,25.632,0,370.173,1.193,4.391,58.287,0,4.296,1637.661,16.817,8.593,0.584,0,241.129,0,21.442,0,0,0,42592.619,6.298,28.782,69.073,427.916,16.679,9.69,21.187,1065.729,0,168.699,24.457,0,0,70.176,72.072,3638.675,3674.402,0,0,13.709,1642.23,1491.835,0,0,0,0,0,0,0,240.599,126.198,829.82,0,3823.136,661.099,551.848,64.918,905.698,1140.031,9.137,18114.079,22.616,0,0,3887.057,6061.147,0.01,141.983,3.412,0,0,2453.726,97.62,2307.664,0,0,12.865,204.033,0.955,391.823,13073.596,52.184,27676.309,14.529,120.542,190.536,0,24.155,0,0,0,0,0,0,0,1.483,0,0,0,0,0,0,0,0,0,11.183,5.402,1.869,1.507,0,0,0,0,0,0,0,0,0,0
"BMU",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BOL",0,0,0,0,0,0,0,16.202,0,0,0,0,0,0,0,0,0,0,0,2.063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.864,0,0,0,0,0,0.034,0,0,0,0,0,0,0,0,0.068,0,0,0,0,0,0,0,0,0,0,0,0,6.228,0,0,0,0,0,0,0.072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.006,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.411,0,0.869,0,0,0.043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BIH",0,0,0,0,0,0,0,0,0,0.087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.574,0,5.57,0,0,0,0,0,0,0,0,0,0,0,0,1.207,0,0,0,0,0,47.112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.031,0,0,0,0,0,0,0,0,0,0,0,0.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.048,0,0,0,0,0,0,0,0,0,0,5.193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.621,0,0,0,0,0,11.262,0,0,5.242,0,0,0,0,55.257,0,0,0,0,0,0.389,0,0,0,0,0,0,9.258,0,0.247,0,0.384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BWA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.214,0,0,0,0,0,0,0,0.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.73,0,0,0,0,0,0,0,6.429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BRA",0,0,0.383,0,21.545,0,0,5417.843,14.196,20.971,0.727,1.403,0,0,19.406,0,128.872,0,0,0,0,2.629,0,2.048,0,0,0,2.9,33.109,0.521,13.924,5.45,0,0,710.347,169.925,258.387,0,0,0,23.906,0,10.288,0,0.012,0,0.293,0,6.024,49.369,0.394,0,0,0.641,0,3.07,42.311,0,0,0,0,0,519.332,0,0,103.425,0,0,0,13.494,0,0,20.097,2.276,12.404,0,0.003,24.366,5.022,97.383,9.224,9.309,23.768,0,7.559,0,2.472,0.075,0,0.241,0.302,0,0,3.113,0,0,0.396,0,0,0,0,0,9.252,0,0,0,0,0,1050.001,0,0,0,0,2.121,1.906,0,0.014,0,0,207.105,4.993,34.17,0,0.473,4.116,0,0,2.023,0,0,10.925,0,673.166,365.084,2.99,10.404,281.805,0,0,0,0.164,17.731,0,0,0,0,0,0,0,48.152,0,6.779,0,6.765,23.37,0.058,0,0,124.987,0,35.795,0.166,0,0,38.335,10.168,1.607,17.631,0,0,5.914,85.246,0.165,16.509,0,0,0,0,3.206,0.311,13.444,0,3453.639,654.122,0,6120.587,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.066,0,0,0,0,0,0,0,0,0,0,0
