"AFG","ALB","DZA","AND","AGO","ATG","AZE","ARG","AUS","AUT","BHS","BHR","BGD","ARM","BRB","BEL","BMU","BOL","BIH","BWA","BRA","BLZ","SLB","VGB","BRN","BGR","MMR","BDI","BLR","KHM","CMR","CAN","CPV","CYM","CAF","LKA","CHL","CHN","CXR","COL","COG","COD","COK","CRI","HRV","CUB","CYP","CZE","BEN","DNK","DMA","DOM","ECU","SLV","GNQ","ETH","EST","FLK","FJI","FIN","FRA","PYF","GAB","GEO","GMB","PSE","DEU","GHA","GIB","KIR","GRC","GRL","GRD","GUM","GTM","HTI","HND","HKG","HUN","ISL","IDN","IRN","IRQ","IRL","ISR","ITA","CIV","JAM","JPN","KAZ","JOR","KEN","PRK","KOR","KWT","KGZ","LAO","LBN","LSO","LVA","LBR","LBY","LTU","LUX","MAC","MDG","MWI","MYS","MDV","MLI","MLT","MUS","MEX","MNG","MDA","MNE","MSR","MAR","MOZ","OMN","NAM","NPL","NLD","ANT","CUW","ABW","NCL","NZL","NIC","NER","NGA","NOR","MNP","FSM","PAK","PAN","PNG","PRY","PER","PHL","POL","PRT","TLS","QAT","ROU","RUS","RWA","KNA","AIA","LCA","VCT","SMR","STP","SAU","SEN","SRB","SYC","SLE","IND","SGP","SVK","VNM","SVN","ZAF","ZWE","ESP","SDN","SUR","SWZ","SWE","CHE","SYR","TJK","THA","TGO","TTO","ARE","TUN","TUR","TKM","TUV","UGA","UKR","MKD","EGY","GBR","TZA","USA","BFA","URY","UZB","VEN","WLF","WSM","YEM","ZMB","GIN","VUT","NFK","PLW","GNB","SOM","TON","ATF","BTN","ERI","DJI","MRT","GUY","ASM","SPM","TCD","MYT","TCA","TKL","COM","NIU","SHN","MHL"
"BRA",0,7.062,0.517,0,172.472,0,0,3034.71,19.23,16.833,0,7.242,0,0,0.249,1.762,0,96.311,0,0,0,0,0,0,0,0,0,0,0,0,0,94.79,2.139,0,0,0,660.576,74.328,0,197.555,0,0.576,0,14.379,2.974,3.122,0,0,0,4.585,0,31.129,242.372,10.318,14.69,0,0.016,0,0,0.381,411.505,0,0,0,0,0,784.677,0.828,0,0,39.445,0,0,0.277,2072.82,0.289,13.771,373.349,16.737,0,0.001,7.909,0,0,26.741,10.9,0,0,2.534,0,0,1.382,0,285.506,6.418,0,0,6.072,0,0,0,0,0,0,0,0.069,0,3.399,0,0,0,0,356.676,4.521,0,0,0,7.01,15.382,0,0,0,47.637,0,0,0.043,0.977,8.034,7.89,0,3.248,10.57,0,0,0,183.539,0,694.972,159.949,18.763,10.258,120.239,0,0,0.061,0,0,0,0,6.699,0,0,0,3.997,0,0,0,0,10.078,24.499,0,24.591,0,447.594,0,7.97,0,1.736,0,12.791,8.559,0,0,60.684,0,43.609,26.256,4.984,8.159,0,0,0.108,9.225,0.227,0.228,124.032,16.576,3252.161,35.476,355.729,0,292.213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.162,0,0,0,0,0,0,0,0,0,0
"BLZ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125.281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SLB",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.626,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"VGB",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BRN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.415,0,0,0,0,0.573,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.129,96.204,0,0,0,0,0,0,0,0,0,0,0,0,0,35.932,0,0,0,0,0,0,0,0,0,0,0,67.748,0,4.092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BGR",0,203.915,5.707,0,2.44,0,0,0,247.613,7.142,0,0,0,1.323,0,24.696,0,0.06,18.54,0,1.619,0,0,0,0,0,0,0,0.3,0,0,55.513,0,0,0,0,0,17.664,0,0.176,0,0,0,0,14.339,0,16.84,24.345,0,12.179,0,0,0,0,0,1.897,0,0,0,0.831,28.514,0,0.294,0.216,0,0,553.122,0,0,0,238.725,0,0,0,0,0,0.055,41.398,14.363,0,0,0,0,0,13.823,80.227,0,0,48.116,7.777,0,0,0,21.021,3.119,0,0,0,0,2.772,0,14.421,0,0,8.652,0,0,0,0,0,0,0,15.55,0,10.499,0.745,0,0,0,0,1.976,0,76.882,0,0,0,0,3.882,0,0,0,20.416,0,0,0,0,0,0,0,0,41.461,13.069,0,15.864,566.957,148.499,0,0,0,0,0,0,0,0,0,56.822,0,0,6.816,8.716,0,250.88,35.09,1.106,0,57.948,0,0,0,43.227,19.344,0,0,24.031,0,0,0,0.614,37.555,0,0,0,0.737,135.694,0,150.695,0,472.398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MMR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.154,0,0,0,0,8.075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BDI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BLR",0,0,0,0,0,0,1.1,0,0,0.684,0,0,0,11.4,0,0,0,0,0,0,0,0,0,34.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.464,0,0,0,0,0,0,0,0,0,10.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5.014,251.3,0,0,0,66.978,0,0,0,0,0,4,0,0,52.497,0,0,0,0,0.3,0,0,0,0,11.963,0,0.2,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.091,0,0,0,2.706,1406.8,0,0,0,0,0,0,0,0,0,3.639,0,0,2.018,0,0,24.59,0,0,0,0,0,0,0,22.9,2.3,0,0,0.437,0,0,0,0,0,0,0,0,56.2,0,0,0.4,0,39.352,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KHM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.819,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CMR",0,0,0,0,0,0,0,0,0,0.412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.527,0,0,0,0,0,0.659,0.099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.143,0,0,0,0,0,0,0,0,0,107.105,0,0,38.544,0,0,0,0,0,0,0,0,0,0,5.457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CAN",26.046,23.529,256.466,0.146,3.39,0,115.306,2160.047,5442.174,382.003,0.709,78.499,50.445,22.753,2.082,885.524,51.959,18.266,29.568,17.628,6261.555,0.067,0,0,0.474,7.43,0,0,1.425,0,15.096,0,0,0,0,44.109,446.112,10862.986,0,435.28,3.413,0,0,53.141,257.03,20.089,154.789,1263.2,0,95.544,0.006,5.708,211.51,1.019,0,20.649,92.722,0,0.637,529.725,5138.773,21.128,4.551,977.669,0,0,8941.88,0.63,0,0,898.298,0,3.637,0,14.508,32.476,0.135,6306.079,61.563,141.596,213.08,14.192,306.361,463.101,2044.734,1739.663,0,5.398,5565.072,10.828,308.167,122.081,7.597,12020.456,49.481,3.57,0,334.171,0,1.41,27.73,22.168,77.338,448.286,3.045,6.958,0,956.455,8.738,44.906,3.718,11.986,9778.759,83.456,78.056,0.965,0,547.474,0,89.108,18.328,91.166,1852.02,0,0,0.541,30.583,357.948,2.185,0,74.209,360.125,0,0,53.804,6.75,0,6.117,776.545,685.197,273.487,123.759,0,763.332,107.895,1517.321,2.591,4.727,0,2.423,0.534,0,0,792.362,0,78.752,0,0,5508.842,2523.136,75.514,293.694,92.473,1667.794,0,1093.598,74.816,12.382,0,1985.262,858.808,0,0,1981.469,0,21.985,1694.124,2.963,1645.467,0,0,0,97.117,20.176,131.586,21712.796,214.386,367145.291,6.104,296.099,0,61.927,0,0,0,4.109,0,0.667,0,0,0,0,0,0,0,0,0,8.792,0.511,19.086,0.489,0,0,0,0,0,0,0,0
"CPV",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.982,0,0,0,0,0,0.393,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CYM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CAF",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,3.127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LKA",0,0,0,0,0,0,0,0,1.097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.921,394.738,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95.838,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011,0,0,0,0,0,0,0,97.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.698,0,0,0,0,0,0,0,0,0,0,0,0,0,31.818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,604.513,10.059,0,0,0,0.008,0,0.212,0,0,0,7.374,69.593,0,0,0.666,0,0,0,0,0,0,0,0,0,0,0,0,0,19.064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CHL",0,0,0,70.165,0,0,0,58.47,1.138,3.323,0,0,0,0,0.2,56.391,0,2019.767,0,0,114.451,0,0,0,0,4.441,0,0,0,0,0,41.814,0,0,0,0,0,1.334,0,38.238,0,0,0,0,0,0,12.134,0,0,0,0,0,21.01,76.902,0,0,0,0,0,0,96.898,0,0,0,0,0,22.151,0,0,0,0,0,0,0,4.173,0,0,3.258,0,0.506,0,0,0,0,52,1.541,0,0,10.668,0,0,0,0,3.192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,214.075,0,0,0,0,0,0,0,0,0,253.222,0,0,0,0,0,0.486,0,0,24.547,0,0,0,0.599,0,1225.594,1075.716,0,0,16.186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.227,1.915,0,0,0,157.935,0,22.374,8.625,0,0,0.715,0,0,0,3.073,0,0,69.516,0,0,0,0,0,0,0,0,0,0,113.307,0,13.378,0,6.535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CHN",26.852,223.006,4101.454,427.156,1243.847,3.549,670.8,32856.938,84662.384,11908.482,3.618,752.244,2868.408,224.899,30.773,23736.119,4.31,390.822,480.137,121.846,63699.635,47.343,1.974,0,247.209,1231.565,4596.171,220.549,1697.697,61.144,273.698,55485.122,1.356,0,229.709,586.503,14252.407,0,0,7348.519,224.989,388.956,0,510.367,4268.755,237.84,410.334,27544.752,139.307,20521.313,5.249,1043.899,4138.732,1006.485,1117.003,257.449,1407.161,0,22.285,13337.843,115892.267,369.879,1062.16,124.778,0,7.341,285899.49,1428.955,4.05,8.5,4719.681,25.69,3.255,0,1104.306,41.602,754.528,1886222.809,40704.871,242.744,27703.762,10532.009,4966.264,8206.743,10564.725,66673.341,130.025,381.526,621261.787,1695.267,2095.714,1904.338,1798.551,373795.435,698.637,205.279,203.542,1976.473,0,609.079,217.44,404.016,2213.766,321.078,1336.188,76.205,15.847,27799.694,99.568,71.855,492.065,243.55,115341.32,147.113,263.836,130.27,0,7755.339,400.407,305.99,13.68,329.32,175581.121,16.652,0,5.547,349.507,10837.183,317.486,2101.447,11201.091,11858.649,0,0.02,6979.886,4075.418,446.831,6176.9,15595.856,14178.802,41707.775,7726.946,161.916,815.809,7411.701,30793.746,151.419,4.67,0,32.399,8.672,0,0,10601.047,79.982,1295.608,1.788,39.547,78549.378,42786.3,12551.932,21454.136,5639.058,20262.251,984.799,45787.377,2468.452,63.746,0,16279.136,5062.704,10184.003,6.932,115541.239,138.5,512.227,36703.134,1608.859,49555.597,632.339,0,1990.778,3413.132,404.933,12043.194,199175.851,2072.251,1986675.45,22.478,1452.175,508.092,3023.344,0,99.74,871.109,503.979,51.065,6.838,0,0.018,15.488,61.718,0.267,0,0.82,0.746,816.77,44.832,69.142,0,0,1471.433,0.2,0.536,0,0,0,0,0
"CXR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"COL",0,0,0,0,0,0,0,182.339,3.843,10.541,0,0,0,0,0,0,0,21.34,0,0,2.036,0,0,0,0,0,0,0,0,0,0,1.5,0,0,0,0,98.23,0.285,0,0,0,0,0,141.304,0,0,0,0,0,0,0,0.778,90.001,0.168,0,0,0,0,0,0,0,0,0,0,0,0,32.86,0,0,0,0,0,0,0,2.996,0.075,17.168,0,0,0,0,0,0,0,53,4.192,0,0.158,0,0,0,0,0,0.226,0,0,0,12.803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.585,0,0,0,0,33.935,0,0,0,0,185.288,0,0,0.339,0,0,0,0,0,0,0,0,0,86.285,0,0.756,58.793,0,0,0.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.068,0,0,0.004,0,0.747,0,0,0,1.71,1.079,0,0,12.877,0,0,0,0,0,0,0,0,0,0,0,0,0,129.57,0,2.378,0,107.979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"COG",0,0,0,0,4.544,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"COD",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008,0,0,0,0.215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"COK",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,656.594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CRI",0,0,0,0,0,0,0,0,22.365,0,0,0,0,0,0.026,0,0,0,0,0,7.55,0,0,0,0,0,0,0,0,0,0,0.936,0,0,0,0,0.005,0,0,0.647,0,0,0,0,5.838,0.058,0,0,0,0,0,1.268,0.177,2.445,0,0,0,0,0,0,2.651,0,0,0,0,0,9.119,0,0,0,0,0,0.125,0,65.577,0,9.551,0,0,0,0,0,0,0,0,0.005,0,0,6.225,0,0,0,0,0.074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,573.629,0,0,0,0,0,0,0,0,0,0.265,0,0,0,0,0,4.048,0,0,0,0,0,0,23.991,0,0,1.535,0,0.112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.756,94.648,0,0,0,14.477,0,0,0,0,0,1.948,0.607,0,0,162.169,0,0,0,0,0,0,0,0,0,0,26.547,5.076,0,199.96,0,0,0,0.329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HRV",0,6.695,0,0,0,0,0,0,0,224.475,0,0,0,0,0,1.042,0,0.303,492.672,0,0,0,0,0,0,9.284,0,0,0,0,0,4.733,0,0,0,0,0,213.651,0,0,0,0,0,0.246,0,0,0,6.814,0,0.066,0,0,0,0,0,0,0,0,0,5.722,20.171,0,0,0,0,0,59.011,0,0,0,0.571,0,0,0,0,0,0,1.406,12.948,0,0,0,29.827,28.071,0,29.936,0,0,5.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0.825,0,0,0,0,0,0,0,0,0,0.42,0,0,42.046,0,0,0,0,0,0,59.859,0,0,0,0,0,768.5,0,0,0.603,0,0,0,0,0,0,0,0,0.932,1.386,0,0,11.723,10.431,0,0,0,0,0,0,0,0.491,0,108.448,0,0,0,0,0.053,0,50.713,0,0,9.627,0,0,0,3.259,1.907,0,0,22.957,0,0,0,0,2.119,0,0,1.965,0.097,23.192,0,48.593,0,11.994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
