"AUS","AUT","BEL","BRA","BGR","BLR","CAN","CHN","CZE","DNK","FIN","FRA","DEU","GRC","HKG","IRN","IRL","ISR","ITA","JPN","KAZ","KOR","KGZ","LBN","LVA","MYS","MEX","NLD","NOR","POL","PRT","ROU","RUS","SAU","IND","SGP","ZAF","ESP","SWE","CHE","ARE","TUR","UKR","MKD","GBR","USA","LKA","IDN","NZL","PAK","THA","EGY","HUN","SCG","SVK","ARG","DZA","CMR","PYF","BFA","VEN","SVN","CYP","ALB","TUN","PHL","GMB","UZB","OMN","KEN","NPL","BRN","MMR","VNM","TZA","ZMB","NGA","BRB","CHL","COL","CRI","DOM","ECU","SLV","HTI","HND","JOR","MAR","PAN","PER"
"GRC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.883,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HKG",0,0,0,0,0,0,0,115.037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.946,0,0,0,0,0,0,0,0,0,1.512,0,0,0,0,0,0,0,0,35.421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"IRN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"IRL",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.842,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.722,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ISR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ITA",0,8.421,0,0,2.75,0,0,699.983,52.118,0,0,403.395,187.27,0,0,0,0,0,0,10546.117,0,91.333,0,0,0,6439.011,0,0,2.206,0,0,0,0.674,0,0,0,0,0,0,53.377,0,0,0,4.042,0,18600.262,0,0,0,0,0,0,62.675,0,0,0,0,0,0,0,0,0,0,7.2,0.583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"JPN",4564.791,0,391.462,8.3,41.225,0,0,2141.14,46.906,3133.461,3438.445,2693.593,879.7,0,43.377,0,888.867,0,234.115,0,0,21261.876,0,0,0,65477.191,0,2095.881,115.574,0,0,0,645.308,0,0,50.506,629.057,0,2167.79,26.009,0,0,308.879,0,15721.702,21404.654,0,221.778,0,0,37.292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KAZ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KOR",0,0,0,0,0,0,0,159.023,0,0,18.009,0,100.465,0,0,0,0,0,0,10998.38,0,0,0,0,0,6.819,0,0,604.745,0,0,0,0,0,0,134.044,0,0,0,0,0,0,493.556,0,18.104,3394.217,0,0,0,2.156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KGZ",0,0,0,0,0,0,0,0.751,173.711,0,0,0,0,0,0,0,0,0,0,255.852,0,0,0,0,0,0,0,0,0,0,0,0,45.016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LBN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LVA",0,0,0,0,0,0,0,0,35.872,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MYS",0,0,0,0,0,0,0,0,6.057,0,0,0,0,0,0,0,0,0,4.055,98.759,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MEX",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NLD",0,0,0,0,0,0,0,0,0,0,0,41.597,0,5.24,0,0,0,0,41.522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,868.872,0,0,0,0,0,0,0,0,0,0,5.857,4.699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NOR",0,0,0,0,0,0,0,0,0,1577.104,0,418.586,426.64,0,0,0,0,0,0,2.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.212,12.584,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"POL",0,0,0,0,0,0,0,0,41.311,0,0,9,10,0,0,0,0,0,0,19.684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.639,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PRT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ROU",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RUS",0,169.759,0,0,0,1064.3,0,50.883,352.538,0,9.579,0,6802.626,0,0,0,0,0,0,3011.794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107.818,0,5.199,0,0,20.794,0,0,1285.519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.025,0,0,0,0,0,9.913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SAU",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"IND",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,290.45,0,0,0,0,0,0,0,5.64,83.765,0,0,0,0,0,0,0,0,0,203.625,0,0,0,0,0,0,0,59.787,0.821,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.158,3.81,2.153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SGP",0,0,0,0,0,0,0,16.759,0,0,0,0,26.27,0,0.935,0,0,0,0,0,0,0,0,0,0,14.515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,257.359,0,0,15.437,0,0,14.946,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.661,0,0,0,0,0,0.556,21.082,4.397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ZAF",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1035.187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.918,4.983,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ESP",0,0,0,0,2.687,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,267.817,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SWE",0,0,0,0,0,0,0,0,0,1140.679,0,0,1007.462,0,0,0,0,0,0,2315.094,0,0,0,0,0,11.699,0,0,69.084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CHE",0,0,0,0,0,0,0,0,3.152,0,22.402,20.753,37.423,0,0,0,0,43,0,31.03,0,0,0,0,0,0,0,0,1.28,0,0,0,0,15.375,0,1.727,0,0,0.549,0,0,0,39.899,0,4.399,9.191,0,0,0,0,0,124.871,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ARE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,316.645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TUR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"UKR",0,0,0,0,6.481,1130.755,0,11.55,2869.08,0,0,101.717,289.599,0,47.59,0,0,20.089,0,90.514,0,0,0,0,0,0,0,0,0,0,0,0,675.436,0,0,0,0,705.781,0,43.983,0,0,0,0,0,32.349,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
