"ALB","DZA","AND","AGO","ATG","AZE","ARG","AUS","AUT","BHR","BGD","BRB","BEL","BMU","BRA","VGB","BRN","BGR","MMR","BLR","KHM","CMR","CAN","CAF","LKA","CHL","CHN","COL","COG","COD","CRI","HRV","CYP","CZE","BEN","DNK","DMA","DOM","ECU","SLV","EST","FIN","FRA","PYF","GAB","DEU","GRC","GRL","GTM","GIN","HTI","HND","HKG","HUN","ISL","IDN","IRN","IRL","ISR","ITA","CIV","JAM","JPN","KAZ","JOR","KEN","PRK","KOR","KWT","KGZ","LBN","LVA","LTU","MAC","MDG","MWI","MYS","MLI","MLT","MUS","MEX","MDA","MAR","OMN","NPL","NLD","ANT","NZL","NIC","NER","NGA","NOR","PAK","PAN","PNG","PRY","PER","PHL","POL","PRT","QAT","ROU","RUS","RWA","SHN","KNA","LCA","STP","SAU","SEN","SLE","IND","SGP","SVK","VNM","SVN","ZAF","ZWE","ESP","SUR","SWE","CHE","SYR","TJK","THA","TTO","ARE","TUN","TUR","UGA","UKR","EGY","GBR","TZA","USA","BFA","URY","VEN","SCG","ZMB","BOL","SLB","CXR","CCK","COK","FJI","GHA","NRU","NCL","VUT","NFK","TON","WSM","CPV","ETH","LAO","LBY","MOZ","MKD","YEM","BHS","BDI","SYC","BLZ","CUB","GRD","SPM","VCT","MNG","BIH","SDN","DJI","ARM","TCD","COM","GNQ","GMB","MRT","GNB","TGO","WLF","MDV","UZB","ERI","GIB","AIA","TKM","GEO","KIR","LBR","FSM","PLW","ABW","NIU","BTN","AFG","CYM","GUY"
"KHM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.942,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CMR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CAN",0,85.039,0,0,0,1.519,79.898,1032.368,201.763,0,1.846,19.679,620.792,94.829,365.313,0,56.852,301.678,0,0,0,5.876,0,0,25.547,553.814,3180.151,645.229,0,0,33.855,258.065,2.746,82.689,0,79.405,0,26.22,2.863,0,12.69,89.022,1021.694,0,0,2274.828,85.474,0,0,0,40.788,0,2012.442,25.032,6.995,422.965,0,101.195,595.154,528.449,27.593,0,1254.097,4.927,4.672,0,0,4209.729,17.27,0,4.618,0,16.6,0.899,0,0,109.474,11.391,14.503,67.056,188.568,0,12.327,1.914,1301.424,425.245,0,382.42,0,0,14.627,71.659,259.056,16.751,2.223,0,264.74,445.728,204.716,56.734,0,97.191,374.591,0,0,0,0,0,116.714,15.636,0,225.77,1015.272,118.778,3.644,100.844,527.833,0,220.695,0,335.664,112.513,2.244,0,226.613,61.657,17.34,0,254.606,0,5.636,77.255,2570.934,9.322,62778.705,0,296,51.702,0,0,6.436,0,0,0,0,0,4.324,0,0,0,0,0,0,0,74.344,0,0,0,5.973,49.135,0,0,0,0.536,254.479,6.533,3.272,16.749,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CAF",0,0,0,0,0,0,0,0,0,0,0,0,0,6.967,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LKA",0,0,0,0,0,0,0,2.431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.867,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.416,1.803,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,146.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.617,0,136.386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CHL",0,0,0,0,0,0,1.85,0,2.38,0,0,0,0,0,5.07,0,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,8.127,0,0,0,0,0,0,0,0,0,7.225,7.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.629,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.061,0,2,0,0,0,3.553,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CHN",0,90.931,81.622,0,26.8,0,1381.281,7166.582,789.718,0,5.853,0,7146.788,7.021,116.671,0,0,9.964,157.554,0,0.684,0.839,4032.747,0,48.686,78.073,0,102.912,0,0,2.3,6.979,152.286,303.143,0,1538.219,0,0,53.449,0,1.229,258.015,19956.186,0,0,29031.875,328.486,0.676,0,0,0,0,56983.233,18,1.76,185.712,0,59.718,16.311,13931.051,0.559,0,63871.649,0,28.556,0,83.261,3644.852,391.751,0,439.81,0,0,53.014,0,0,591.549,0,18.92,0.688,422,0,6.008,1.483,253.623,7407.279,0,202.944,0,0,307.736,152.8,668.187,55.684,0,4.033,34.805,50.91,1217,768.057,0,1.189,2.52,0,0,0,0,0,161.702,0,0,2.79,2840.273,9.937,126.785,8.281,220.803,0,3545.174,0,223.5,789.718,77.902,0,1055.221,0,234.119,48.376,970.4,4.26,0,37.032,609.332,0.684,170119.505,0,22,0,0,0,0,0,0,0,0,0,0,0,0,48.529,0,0,0,0,11.386,0,0,0,8.843,0,0,0,0,0,0,0,0,0,1.441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"COL",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.183,0,0,0,0,0,0,0,11.427,21.61,0,0,0,0,0,26,0,0,21.07,0,0,11.879,0,0,0,0,0,0,0,1.319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5.275,0,0,17.442,0,0,0,0,0.555,0,0,8.519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.697,0,1,47.554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"COG",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,332.523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"COD",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CRI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68.254,0,0,0,0,3.844,0,0,0,0,2.653,5.51,0,0,0,0,0,0,0,18.785,572.476,0,0,75,0,0,0,0,0,9.449,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.229,0,19,0,0,0,0,0,0.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HRV",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,182.712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.291,0,0,0,0,0,0,0,0,0,0,0,0,25.306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.448,28.824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CYP",0,0,0,0,0,0,0,0,0,0.841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97.105,0,0,2.358,59.297,0,0,0,0,0,0.575,0.981,0,0,0,0,92.106,1025.538,0,0,0,0,1135.258,0,0,0,0,0,640.197,0,0,0,0,0,42.173,0,26.081,0,0,0,3.703,0,0,104.391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.264,0,0,0,0,0,8.933,0,0,0,0,0,0,0,0.703,0,0,0,4.39,0,9.467,0,0,0,27717.01,1.001,0,0,0,1809.604,97.717,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,137.538,0,0,3.701,0,0,0,0,0,0,0,0,0,0,46.672,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CZE",0,17.493,0,0,0,0,0,39.162,126.813,0,5.767,0,170.458,0,0,0,0,0,0,5.667,0,0,8.901,0,0,0,160.643,0,0,0,5.509,0,0,0,0,11.565,0,0,0,0,0,5.095,59.087,0,0,2521.685,0,0,0,0,0,0,0,2.23,0,0,0,0,21.1,8.296,0,0,45.53,2.054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.57,0,0,0,0,0,1.117,0,0,0,0,0,0,129.438,0,0,0,317.255,0,0,0,0,0,0,0,0,0.503,5.541,522.669,0,2.169,1.636,0,0.973,0,228.791,33.252,0,0,21.073,0,0,138.685,0,0,152.778,271.083,68.989,0,19.973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BEN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DNK",0,0,0,0,0,0,16.229,755.308,1739.931,16.128,56.904,0,437.448,57.074,8.088,0,0,0,0,0,0,0,72.605,0,0,28.929,444.327,36.729,0,0,0,98.94,18.744,97.138,0,0,0,0,0,0,19.003,1290.8,2915.425,0,0,9246.15,48.124,14.487,0,447.083,0,0,37.093,10.298,11.583,39.673,0,225.137,193.922,2267.347,0,0,1350.19,0,0.616,0,0,468.644,34.158,0,0,1.07,0,1.191,0,0,10.379,0,24.5,0,181,118.142,17.706,0,0,2218.955,0,896.457,0,0,0,1150.951,67.022,0,0,1.471,20.737,4.46,667.221,111.515,0,13,0,0,0,0,0,0,98.704,0,0,120.883,85.228,17.546,0,542.875,71.932,100.14,487.917,0,3141.528,2382.403,0,0,223.042,0,45.676,1.757,88.226,0,0,6.06,1393.749,18.898,4013.332,0.718,0,3.612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DMA",0,0,0,0,0,0,0,0,0,0,0,0,0,5.618,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DOM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200.047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ECU",0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.401,0,0,0,0,0,0,0,37.357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SLV",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.569,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"EST",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1052.797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.939,6.041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.378,0,0,0,265.628,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.152,0,0,9.597,0,0,0,0,0,0,0,0,0,0,8.896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FIN",0,39.257,0,0,0,0,10.534,1584.093,62.746,0,0,0,153.001,0,116.021,0,0,16.164,0,0,0,0,36.137,0,13.38,55.712,941.221,0,0,0,0,0,3.303,459.363,0,89.009,0,0,0,0,415.429,0,752.456,0,0,718.602,9.726,0,0,0,0,0,5.775,17.087,1.389,6.573,0,0,51.859,8.736,0,0,323.934,0,0,0,0,16.039,2.904,0,3.317,11.146,37.76,0,0,0,3.09,0,0,0,29,0,0,0,0,35.367,0,6.833,0,0,0,736.167,0,0,0,0,0,0,50.842,9.689,0,0,3099.965,0,0,2.276,0,0,15.483,0,0,269.355,43.993,1.622,2.516,2.638,10.725,0,20.311,0,1000.472,301.369,0,0,670.561,0,1.994,9.001,14.384,0,2.109,0,5.937,0,1025.105,0,0,0,0,3.645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FRA",19.456,2050.228,34.791,31.29,0,0,969.121,377.894,716.274,0,0,0,6585.033,45.491,477.522,0,200.982,1.404,0,0,4.613,89.667,1113.553,9.97,26.877,72.339,1013.335,95.34,25.072,0,12.953,26.075,203.744,501.73,198.575,746.039,0,0,12.368,0,46.133,414.996,0,459.731,279.609,38507.032,656.301,0,22.623,57.956,17.827,0,1389.211,474.523,165.13,46.735,2419.407,2779.254,1548.483,4881.817,2838.256,0,4173.603,0,25.473,16.848,0,3026.968,42.924,0,36.505,0,0,0,213.995,0,369.864,91.464,3.669,2702.371,142.918,0,2187.433,0,0,21007.25,23.869,242.933,0,25.09,56.162,612.574,0,0,0,23.066,10.441,115.534,8039.642,1183.127,6.819,122.551,977.431,2.808,0,0,0,0,1329.241,526.324,0,414.477,286.028,3.698,1.404,34.406,241.559,836.222,28056.297,0,2118.702,3748.116,0,0,5587.751,0,131.581,8602.165,8115.072,61.778,11.834,498.005,22999.283,1.002,50459.59,44.867,59,8.499,0,0,2.246,0,0,0,0,0,42.523,0,854.475,0,0,0,0,2.607,0,1.805,0,0,40.999,0,0,27.599,3.596,0,0,0,7.822,0,0,0,36.104,3.811,33.898,4.029,122.956,5.415,321.731,318.522,2.607,349.612,32.895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PYF",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.628,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GAB",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DEU",1,156.866,24.764,23,0,21,1430,14606.776,43462.065,128,290.893,0,22742.442,9.869,4575.338,0,1,831,2,473,0,97.647,3491.033,0,36,209.708,26630.548,517.067,11.259,0,11,679.821,128.883,9466.666,0,13582.347,0.559,0,73.265,37,127.299,3485.929,102777.432,3,1,0,2497.048,0,4,1408,0,1.172,2692.652,3650.239,583.137,1810.712,2740,2065.399,2232.839,41580.826,6.169,0,26548.438,42,176.324,37,89,16028.786,531,2,187,53.716,111,20.003,0.58,0,1673.06,0,107.301,8,3460.452,0,175.26,127,0,67511.832,7,683.358,0,1.889,111,4936.852,139,53.715,0,22.056,70.271,3126,7437.754,3455.842,113,834.543,5385,0,0,0,0,0,2549,0,0,3368.444,11327.027,759.297,320,1287.048,3063.837,4.138,19371.627,0,24065.243,49049.26,71,0,6756.684,0,2363,456,4287.376,0,473,642.211,69405.495,109.647,101160.777,88.904,43.666,221.874,0,87,19.039,0,0,0,0,0,44,0,29,0,0,0,0,0,1.987,0,42,0,70.919,132,0,0.548,3,0,0,2,0,0,5,7,0,0,0,2.271,0,0,0,32,0,1.003,0,6,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GRC",7.93,0,0,0,0,0,0,2.201,0,11.182,0,0,0,0,0,0,0,40.384,0,0,0,0.843,0,0,0,0,0,0,0,0,0,0,192.49,4.33,0,0,0,0,0,0,0,0,10.469,0,0,135,0,0,0,0,0,0,0,0,0,0,0,60.09,0,10.147,0,0,30.655,0,8.978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.803,0,0,10.898,0,0,0,0,0,0,0,0,0,0,0,0,0,12.765,0,148,0,0,0,0,0,0,10.246,0,0,0,0,0,0,0,0,0,0,0,40.749,0.728,0,0,0,0,0,0,0,0,0,29.238,23.304,0,44.969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GRL",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.713,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GTM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
